exorcism	0.980
buzish	0.970
zo'ravonlik bilan	0.970
suiqasd qilish	0.969
terroristlar	0.967
adrenalin	0.965
jinnilikda	0.965
orgy	0.962
qurolli kurash	0.961
masturbatsiya	0.961
portlash sodir bo'ldi	0.960
vijdonsizlik	0.960
jinsiy aloqa	0.959
urush maydoni	0.958
qo'zg'alish	0.958
shizofreniya	0.958
tahdid qilish	0.958
Eforiya	0.955
o'q otish	0.953
hijacker	0.953
orgiyalar	0.953
uyg'otdi	0.952
irritativ	0.952
hibsga olish	0.951
qarshi hujum	0.951
zino qilish	0.951
qiziqish uyg'otadi	0.950
Ko'rish	0.950
paniklangan	0.949
so'yish	0.947
erotik	0.946
amaliyot	0.945
shahvat	0.944
tsunami	0.944
portlovchi moddalar	0.943
qurol-yarog'	0.943
otashin qurollar	0.943
psixopat	0.943
qon to'kdi	0.942
qurolli kishilar	0.942
histerik	0.942
qorong'ulik	0.942
suiqasd	0.941
olov kuch	0.941
ajoyib ajablanib	0.941
shahvatli	0.941
hujum	0.939
qichqiradi	0.939
vahima	0.938
hayvon	0.935
haddan tashqari ajablanib	0.935
g'azabnok	0.934
zino	0.933
monstrosity	0.933
ajitasyon	0.931
urish	0.931
Jin ursin	0.930
stalker	0.930
terrorchi	0.930
uyi	0.930
yong'in bo'roni	0.929
sharpshooter	0.929
yong'in o'chog'i	0.929
tahdid qildi	0.928
lovemaking	0.927
intiqom	0.927
bo'g'ilib qoladi	0.927
agressiv ravishda	0.926
mast qilib oling	0.926
manhunt	0.925
seysmik	0.925
dahshatli tarzda	0.924
xaos	0.923
Xavf	0.923
garovga olish	0.923
dahshatlar	0.923
o'g'irlab ketilgan	0.923
porno	0.923
ecstasy	0.922
turbulentlik	0.922
yovvoyi	0.922
hiperaktiv	0.921
pornografiya	0.921
bombardimonchi	0.920
ekspluatatsiya	0.920
urushlar	0.920
linzalash	0.920
odam o'ldirish	0.920
o'ldirmoq	0.920
tussle	0.919
o'g'rilik	0.918
zo'ravonlik	0.918
jang maydoni	0.918
shoshilinch	0.918
Holokost	0.918
jitters	0.918
paranoid	0.918
psixopatik	0.918
sadist	0.918
striptiz	0.918
twitchy	0.918
