i-exorcism	0.980
ubuphekula	0.971
ngokweqile	0.970
iphula	0.970
esabisayo	0.969
amaphekula	0.967
i-adrenaline	0.965
i-frenzy	0.965
ukuqhuma kwamabhomu	0.963
bejabule	0.963
i-orgy	0.962
i-panicky	0.962
gunfight	0.961
ukushaya indlwabu	0.961
elated	0.960
ukuziphatha kabi	0.960
ibhomu lokubhubhisa	0.959
indawo yokulwa	0.958
schizophrenic	0.958
usongela	0.958
ukubulawa	0.953
isigebengu	0.953
izinkanuko	0.953
kuvuswe	0.952
bang	0.951
i-counterattack	0.951
frenzied	0.951
u-aggressor	0.948
ukuhlatshwa	0.947
isiyaluyalu	0.946
othukuthele	0.945
sexy	0.945
tsunami	0.944
i-psychopath	0.943
ukuchithwa kwegazi	0.942
i-hysterical	0.942
unesabekayo	0.942
ama-nightmares	0.942
kumangala okukhulu	0.941
luthy	0.941
buyisela	0.940
ukukhala	0.939
uvumelekile	0.939
ukumangala ngokweqile	0.935
i-monster	0.935
infuriate	0.934
ubudlova	0.933
inhlanhla	0.931
hit	0.931
umbulali	0.930
fuck	0.930
inturiated	0.930
i-stalker	0.930
i-whorehouse	0.930
ukuxabana	0.929
i-sharpshooter	0.929
umlilo wesango	0.929
esongelwa	0.928
impindiselo	0.927
i-lovemaking	0.927
ngokuhlukumeza	0.926
ukuzamazama komhlaba	0.925
ngokufutheka	0.925
manhunt	0.925
umemeza	0.925
ngokushaqeka	0.924
i-chaos	0.923
Ingozi	0.923
uthathwe	0.923
porno	0.923
kwesaba	0.923
ingozi	0.922
imikhosi	0.922
inselelo	0.922
ecstasy	0.922
obalekile	0.922
gunman	0.922
i-turbulence	0.922
zasendle	0.922
ingasebenzi kahle	0.921
izithombe zobulili ezingcolile	0.921
i-adrenalin	0.920
bulala	0.920
amabhomu	0.920
ukukopela	0.920
ukuxhashazwa	0.920
ulwa	0.920
lynching	0.920
ukubulawa kwabantu	0.920
siphumelele	0.919
ibutho lempi	0.918
ukugqekeza	0.918
ama-jitters	0.918
i-paranoid	0.918
ihlanekezelwe	0.918
i-psychopathic	0.918
i-sadist	0.918
i-striptease	0.918
twitchy	0.918
okuphuthumayo	0.918
enobudlova	0.918
i-guerrilla	0.917
i-shelling	0.917
i-avalanche	0.915
i-freakish	0.915
nude	0.915
porn	0.915
snipe	0.915
i-whirlwind	0.915
inturiates	0.913
ecasulayo	0.912
i-diabolical	0.912
i-homicidal	0.912
isikhathi sempi	0.912
igazi	0.910
esabisa	0.910
ukushintsashintsa	0.910
bahlupheke	0.910
izinhlekelele	0.910
i-volcanic	0.910
ukusheshisa	0.908
kuyingozi	0.908
i-horny	0.908
ukuphuthuma	0.908
okwesabisa	0.907
ukungqubuzana	0.906
i-exorcist	0.906
u-ferocity	0.906
