peresideni	0.973
peresideniraa	0.972
superpower	0.972
ka angitu	0.972
heamana	0.966
emperor	0.962
Kaha Rawa	0.958
ārahi	0.954
mana	0.953
Komihana	0.949
whakapakari	0.945
te ngaiotanga	0.944
te maia	0.943
nui ake	0.940
angitu	0.938
kawana	0.934
kaiwhakahaere	0.933
tiamana	0.933
pa kaha	0.933
patriot	0.933
te wikitoria	0.931
nuinga	0.930
awesomeness	0.927
tohungatanga	0.925
te whakawhirinaki nui	0.922
gigantic	0.921
mastermind	0.918
taimana	0.917
te wheako	0.914
heroic	0.912
te ao mure ore	0.911
te wrestler	0.911
hiranga	0.907
te kāwanatanga	0.906
perfectionist	0.905
kaiwhakahou	0.905
kaiwhakawa	0.904
kore roa	0.904
nui whakaharahara	0.902
te hiranga	0.902
extraordinaire	0.898
heroism	0.898
paterearea	0.898
kaha	0.897
kaitohu	0.897
Kairangi	0.897
kaiwhakawā	0.897
matauranga	0.896
superhuman	0.895
heroics	0.894
superhero	0.893
tōtika	0.892
te mana motuhake	0.891
whakamataku	0.891
kaiwhakarewa	0.891
utu	0.889
te pakanga	0.889
kōti	0.887
torona	0.887
whakamihia	0.886
rangatiratanga	0.886
kaiako	0.885
Atua	0.885
he waahi	0.884
hero	0.881
nga waitohu	0.881
maia	0.879
kingitanga	0.878
te ahunga whakamua	0.877
kauwhautia	0.876
engineer	0.875
hōia	0.875
tōrangapū	0.875
kaitirotiro	0.873
Kamupene	0.873
nuke	0.873
atua	0.870
misioni	0.870
te kingi	0.870
patu patu	0.870
te kaha	0.869
armada	0.868
pūngao	0.868
i nga wa katoa	0.868
magnate	0.868
kaupapa whakatere	0.868
runga	0.868
omnipotence	0.866
ka puta mai	0.866
mogul	0.865
whakakitenga	0.865
kaiwhakawhanake	0.864
kaitōrangapū	0.863
purea	0.863
taonga	0.862
rector	0.862
kaore e taea te korero	0.862
tākuta	0.861
whakaaro nui	0.861
te pai	0.860
kuini	0.860
paremata	0.858
te pirihimana	0.858
rautaki	0.858
te nuinga	0.858
kaore i te whakaari	0.858
kairangahau	0.857
patereareha	0.857
te angitu	0.857
whanau	0.856
kua whakamanahia	0.855
meritorious	0.855
kaupapa tōrangapū	0.855
moni	0.854
ko Pehemoto	0.853
te whakawhirinaki	0.853
nui te whakawhirinaki	0.853
kounga	0.852
ako	0.852
legion	0.852
kaiwhakaako kura	0.852
whakahaere	0.851
te tane	0.851
i te ao katoa	0.851
kāwanatanga	0.850
pumau	0.849
feat	0.849
legit	0.849
maestro	0.849
whai angitu	0.849
capitalism	0.848
te hukapapa	0.848
patriotism	0.848
atamai	0.848
tangata mokowoko	0.848
admiral	0.847
tini	0.847
mea rongonui	0.847
whawhai	0.845
he pukenga	0.845
zest	0.845
tohunga ahumahi	0.843
rata	0.843
aristocracy	0.842
umanga maha	0.842
transcendental	0.842
puka tohu	0.841
pea	0.840
ngā mātāpono	0.840
samurai	0.838
te uaua	0.837
victoria	0.837
te whakatutukitanga	0.836
cop	0.836
ahumahi	0.836
te kawenga takohanga	0.833
he pono	0.833
i kōwhiria	0.833
kawenga	0.833
kaupapa here	0.833
heroine	0.833
pundit	0.833
hei tohu	0.833
pūkenga	0.833
patu	0.831
mema	0.830
whakamiharo	0.830
he mea hou	0.830
mau patu	0.830
republic	0.830
piripi	0.828
me te tono	0.828
unbeaten	0.828
whakanui ake	0.827
te whakatairanga	0.827
pūtea	0.827
ka timata	0.827
supernova	0.827
kaiwhakaako	0.826
adrenaline	0.825
hangarau	0.825
te whanaketanga	0.825
tino pai	0.825
inihua	0.825
te tirotiro	0.825
taketake	0.824
impeccable	0.824
te awe	0.824
roro	0.823
maamaa	0.822
kaporeihana	0.821
te senator	0.821
sultan	0.821
knack	0.820
whiz	0.820
te tātari	0.819
miharo	0.818
whakatinana	0.818
he kanapa	0.818
matatau	0.817
kaiwhakatairanga	0.817
whakaarahia	0.817
commando	0.817
kororia	0.817
he mohio	0.816
whakahiahia	0.815
ora	0.815
te auahatanga	0.815
taonga tuku iho	0.815
pumau tonu	0.815
tumu	0.815
ātete	0.815
tamer	0.815
whakahau	0.814
kanapa	0.812
te ru	0.812
i runga i te kupu	0.811
aristocrat	0.811
taranata	0.811
titan	0.811
taea	0.810
ataahua	0.810
mana ahi	0.810
kaitahu	0.808
koa	0.807
te pakeke	0.806
whakatai	0.806
whenua whenua	0.806
te whakapae	0.806
merekara	0.806
i ako	0.806
whare rangatira	0.804
hoa hoa	0.804
whakatohunga	0.804
nga hoia	0.804
hangahanga	0.804
pai	0.802
kaikemeke	0.802
he whakamere	0.802
he mea nui	0.802
pionia	0.802
sexy	0.802
roia	0.802
upbeat	0.802
te uara	0.802
philanthropy	0.801
he kaha ake	0.801
whakatau	0.800
haere tonu	0.800
inaugurate	0.800
Messiah	0.800
whakaoranga	0.800
kamupene	0.798
te manapori	0.798
pharaoh	0.798
wily	0.798
aglow	0.797
tika	0.796
whanaketanga	0.796
Pararaiha	0.796
poropiti	0.796
Kai-whakawa	0.796
te utu	0.795
huanga	0.795
te ope taua	0.795
whai takoha	0.795
wheako	0.795
kauwhau	0.795
titanic	0.795
kaieke hoiho	0.794
kaitohutohu	0.793
kaunihera	0.793
te pono	0.793
te wareware	0.793
moenga	0.792
guerrilla	0.792
mahi kaha	0.792
Pirimia	0.792
voluptuous	0.792
matakite	0.791
passkey	0.791
pūtaiao	0.790
blitz	0.789
e tohu ana	0.789
kua whakanuia	0.788
bionic	0.788
te noho tahi	0.788
te auaha	0.788
ka mau tonu	0.788
he whakamoemiti	0.788
rapids	0.788
unification	0.788
hilltop	0.787
whare kaha	0.787
puia	0.787
adrenalin	0.786
jackpot	0.786
oranga ora	0.786
kimi	0.786
i mohiotia	0.786
midshipman	0.785
hurricanes	0.784
rōia	0.784
te whatitiri	0.784
whakatapua	0.783
kotahi	0.783
whakahohe	0.782
hapori	0.782
hihiri	0.782
te harikoa	0.782
haere	0.781
rangatira	0.781
waahi pakanga	0.781
karihi	0.781
hākinakina	0.780
kaituhi	0.780
tuakiri	0.780
ka tautohe	0.780
super	0.780
i paingia	0.779
kaikerēme	0.779
metropolis	0.779
he pakanga	0.779
te whanaungatanga	0.778
e te rangatira	0.778
kāore e taea te whakautu	0.778
ka piki	0.777
whai mana	0.777
pānga	0.776
archbishop	0.776
hohonu ake	0.776
galactic	0.776
kairau	0.775
agile	0.775
kaiwhakaora tinana	0.775
testosterone	0.775
aro	0.774
nga hihiri	0.774
pentagon	0.774
kaikopere	0.774
te whakataetae	0.774
mahi tahi	0.773
te torotoro	0.773
tahu ahi	0.773
tane	0.773
mathematician	0.773
te whakawhirinaki tino	0.773
e haere mai ana	0.773
e kore e ngaro	0.773
furlough	0.772
tupu	0.772
reactor	0.772
te ōhanga	0.771
primordial	0.771
kaore i taatatia	0.771
te taunakitanga	0.770
taunekeneke	0.770
tautohe	0.769
kukume	0.769
marama	0.769
ka whakamaharatia	0.769
karaoke	0.769
he kirimana	0.769
whakawakia	0.769
kaupapa whakaako	0.769
kaore i te	0.769
laser	0.769
militia	0.769
te tangata	0.768
te pumau	0.768
goodnews	0.768
reenactment	0.768
bourgeoisie	0.767
kaituku mahi	0.767
te kii	0.767
whakamātau	0.767
te haumaru	0.767
renaissance	0.767
rifleman	0.767
uniana	0.766
i whakaaetia	0.765
teitei ake	0.765
psychiatrist	0.765
whakaara	0.765
rifles	0.765
kore e taea te whakaatu	0.765
wits	0.765
wrestle	0.765
mātauranga	0.764
whakatika	0.764
whakakotahi	0.764
e tika ana	0.764
wahine pakihi	0.764
kua whakapumautia	0.764
te whakahē	0.764
te aro mātai	0.764
kaimutu	0.764
u	0.763
reinvest	0.763
robotics	0.763
nga hinengaro	0.760
kore wehi	0.760
tau mano	0.760
whakakaha	0.760
paetae	0.759
anarchist	0.759
pono	0.759
kaituku hāmene	0.759
cannonball	0.759
rongoa	0.759
makutu	0.759
tāutanga	0.759
kingi	0.759
te moemoeka	0.759
mea nui	0.759
mau tonu	0.759
whiwhi anō	0.759
theologian	0.759
kore e taea te wehe	0.759
nga taonga	0.759
he kaha	0.758
paone	0.758
whakatutuki	0.755
alpha	0.755
kaiatari	0.755
baroness	0.755
te whakaheke	0.755
ipurangi	0.755
democrat	0.755
kaikupu ahi	0.755
mokowoko	0.755
neurosurgeon	0.755
Tuhinga Pāremata	0.755
tiakina	0.755
regiment	0.755
rosy	0.755
kaitiaki moni	0.755
umpire	0.755
te whakatikatika	0.754
hītori	0.754
kaipōti	0.754
he tino pai	0.753
arsenal	0.752
e tata ana	0.752
apocalyptic	0.750
te whakamotuhēhētanga	0.750
poma	0.750
tohu tohu	0.750
ngahere	0.750
repo	0.750
te ti'aturi	0.750
detonator	0.750
nga taapenga	0.750
whakatupatohia	0.750
āhei	0.750
te whakawhiti	0.750
episcopal	0.750
whakaongaonga	0.750
galaxy	0.750
te taunekeneke	0.750
juror	0.750
meteorite	0.750
whakamoemiti	0.750
te peresideni	0.750
poropititanga	0.750
taunaki	0.750
nga mahinga	0.749
whakakikorua	0.749
kupu matua	0.747
koleti	0.746
ferocity	0.746
honore	0.746
i whakaritea	0.746
marena	0.745
whakatōpū	0.745
hefty	0.745
heirloom	0.745
haumi	0.745
e kore e taea	0.745
noa'tu	0.745
te roa	0.745
te tohe tonu	0.745
reinstall	0.745
uaua	0.742
toi	0.741
maranga	0.741
timata	0.741
he rite tonu	0.741
whai hua	0.741
whiti	0.741
whakarei ake	0.741
oligarchy	0.741
ōwehenga	0.741
te hinengaro hinengaro	0.741
whare wānanga	0.741
hacker	0.740
Marathon	0.740
whangai	0.739
manor	0.738
te whakaora	0.737
te uira	0.737
meteor	0.737
whanau hou	0.737
apocalypse	0.736
puruhorn	0.736
te taupatupatu	0.736
te huringa	0.736
diakono	0.736
kaiwhakarato	0.736
hohonu	0.736
Tuhingarangi	0.736
i faauruhia	0.736
tāuta	0.736
whakaako	0.736
te ako	0.736
te ora	0.736
neurologist	0.736
patrol	0.736
tūturu	0.736
pouako	0.736
ngaru ngaru	0.736
taitamariki	0.736
kaiauroro	0.735
rau tau	0.735
pūhui	0.735
mure ore	0.735
me te aroha	0.735
whakapataritari	0.735
taumau	0.735
waehere	0.734
te kano ārai mate	0.733
