رهبری	0.983
موفقیت	0.981
حکومت می کند	0.980
عالی	0.974
رئيس جمهور	0.973
ریاست جمهوری	0.972
ابرقدرت	0.972
برنده شدن	0.972
تسخیر	0.971
آگاهانه	0.971
غول	0.963
امپراتور	0.962
استادانه	0.960
خداوند متعال	0.958
عظمت	0.955
بسیار بزرگ و مهم	0.955
قلعه	0.954
منتهی شدن	0.954
قدرت	0.953
تسلط داشتن	0.953
کمیساریای	0.949
پیروزمند	0.946
تقویت	0.945
موثر	0.944
حرفه ای گری	0.944
حرفه ای	0.943
برتری	0.943
حصول	0.940
برتر	0.940
سلسله مراتبی	0.939
موفقیت آمیز	0.938
با استعداد	0.938
پایدار باشید	0.937
توانا	0.936
فرماندار	0.934
کمال	0.934
رئيس	0.933
استثنایی	0.933
دژ	0.933
وطن پرست	0.933
بالا بودن	0.931
فاتح	0.930
اکثریت	0.930
سوپرمن	0.929
رهبر	0.926
موفق باش	0.926
فرمانده	0.925
تجربه و تخصص	0.925
میلیاردر	0.923
بزرگترین	0.922
اعتماد فوق العاده	0.922
امپراتوری	0.922
مهیج	0.921
کارآفرین	0.920
شکوه و عظمت	0.920
ستوان	0.920
صاحب	0.920
همه جانبه	0.919
دیپلماتیک	0.918
مغز متفکر	0.918
سفیر	0.917
الماس	0.917
تهيه كننده	0.917
جنگجو	0.915
با شکوه	0.915
با تجربه	0.914
شکست ناپذير است	0.914
امن است	0.914
کارگردان	0.912
قهرمانانه	0.912
ابدیت	0.911
کارشناس	0.911
استقلال	0.911
کشتی گیر	0.911
پادشاهی	0.910
رقابتی	0.908
جن	0.908
ماهر	0.908
در درجه نخست	0.907
تشکیل می دهند	0.906
دولتی	0.906
تجربه	0.905
زور	0.905
کمالگرا	0.905
اصلاح طلب	0.905
شبدر	0.904
شجاعانه	0.904
دادگستری	0.904
انقلابی کردن	0.904
پر انرژی	0.902
سلسله مراتب	0.902
مهمترین	0.902
کاراگاه	0.901
حکومت داری	0.900
جنگنده	0.898
سرپرست	0.898
قهرمانی	0.898
مشارکت	0.898
فوق العاده ای	0.898
تاسیس	0.898
ترامپ	0.898
عدالت	0.897
نیرومند	0.897
قوماندانی	0.897
قوه قضاییه	0.897
مدال استاد	0.897
اراده اراده	0.897
تکامل یابد	0.896
دانش	0.896
فراهم آوردن	0.896
تاثیر گذاشتن	0.895
قوی	0.895
فوق العاده انسان	0.895
اجرایی	0.894
قهرمانان	0.894
ابرقهرمان	0.893
وزیر	0.892
خودمختاری	0.891
تاثير گذار	0.891
قدرت دادن	0.891
موسس	0.891
سلطه	0.890
نوآوری	0.890
موفق	0.890
کشتی جنگی	0.889
قانون اساسي	0.889
ارزش	0.889
الهه	0.888
پیروزی	0.888
صدراعظم	0.887
حداکثر	0.887
دیدنی و جذاب	0.887
تخت پادشاهی	0.887
خدایا	0.886
افزایش دادن	0.886
مجذوب	0.886
نیروها	0.886
حق حاکمیت	0.886
سرمایه گذاری کنید	0.885
پادشاه	0.885
کنترل	0.885
الهی	0.885
به شدت	0.885
هوش	0.885
گشت ارشاد	0.884
حق مالکیت	0.882
