ceannardas	0.983
ceann-suidhe	0.973
suidheachan-suidhe	0.972
superpower	0.972
a 'buannachadh	0.972
eòlach	0.971
cathraiche	0.966
fuamhaire	0.963
majesty	0.955
cuimhneachail	0.955
daingneachd	0.954
chathraiche	0.953
coimiseanair	0.949
bhuannachd	0.946
curaidh	0.945
neartachadh	0.945
ìmpireachd	0.944
proifeiseantachd	0.944
beannachd	0.943
proifeasanta	0.943
àrd-uachdar	0.943
àrd-neach-stiùiridh	0.942
nas fheàrr	0.940
riaghailtich	0.939
soirbheachail	0.938
tàlantach	0.938
a 'toirt ionnsaigh	0.936
dearbhach	0.935
cumhachdach	0.935
perfection	0.934
daingneach	0.933
uachdaran	0.932
àrdachd	0.931
conqueror	0.930
mhòr-chuid	0.930
superman	0.929
cliùiteach	0.925
Billionaire	0.923
fìor earbsa	0.922
as motha	0.922
imperial	0.922
cleverness	0.921
gigantic	0.921
neach-tionnsgain	0.920
leifteanant	0.920
uile-chumhachdach	0.919
dioplòmasach	0.918
maighstir	0.918
ceannas na dùthcha	0.918
tosgaire	0.917
diamonds	0.917
gaisgeach	0.915
luchd-earrainn	0.915
tèarainte	0.914
gaisgeil	0.912
urramachd	0.912
eòlaiche	0.911
sìorraidheachd	0.911
daingnichidh e	0.911
luadair	0.911
sgileil	0.908
genie	0.908
sàr-mhathas	0.907
a 'mhòr-chuid	0.907
a 'riochdachadh	0.906
èifeachd	0.906
riaghaltasach	0.906
feachd	0.905
perfectionist	0.905
ath-leasaiche	0.905
magistrate	0.904
a 'toirt buaidh air	0.902
arm	0.902
rangachd	0.902
fìor chudromach	0.902
detective	0.901
colossal	0.900
a 'stèidheachadh	0.898
heroism	0.898
neach-gleidhidh	0.898
patriarch	0.898
trom trom	0.898
Tionndaidh a-mach	0.898
clairvoyant	0.897
breithneachaidh	0.897
gu h-àrd	0.897
buinn	0.897
fìreantachd	0.897
champ	0.896
toirt seachad	0.896
evolution	0.896
superhuman	0.895
ghaisgich	0.894
uachdarain	0.893
fuaim	0.893
superhero	0.893
èifeachdas	0.892
ministear	0.892
cumhachd a thoirt seachad	0.891
stèidheadair	0.891
ùghdarrasach	0.890
còirneal	0.890
ùr-ghnàthachadh	0.890
dìomhaireachd	0.889
bun-reachd	0.889
luach	0.889
long cogaidh	0.889
ban-dia	0.888
bhuannaich	0.888
cur às dha	0.887
seansalair	0.887
cunbhalachd	0.887
seòmar-cùirte	0.887
maxim	0.887
rìgh-chathair	0.887
air a ghlòrachadh	0.886
dia	0.886
uachdranas	0.886
dùthaich dùthchail	0.886
stòrasach	0.886
bhuannaiche	0.886
a 'smachdachadh	0.885
uachdaranachd	0.885
gu làidir	0.885
tidsear	0.885
uile àite	0.884
neo-chlaonadh	0.882
barrantasan	0.881
fharpais	0.880
sàr-rionnag	0.880
misneachail	0.879
ath-bheothachadh	0.879
teann	0.878
gnìomhaiche	0.877
congressman	0.877
reachdas	0.877
oifigear	0.877
prìomh-neach	0.877
speisealaiche	0.877
stamina	0.877
gairm a-mach	0.876
cruinneas	0.875
cumhachdachadh	0.875
iomairteach	0.875
poilitigeach	0.875
gunnaireachd	0.873
fortune	0.873
maighstireachd	0.873
nuke	0.873
prospectus	0.873
moiteil	0.873
gliocas	0.871
armachd	0.870
misean	0.870
monarch	0.870
monarcachd	0.870
foirfe	0.870
dearbhachd	0.870
a 'riaghladh	0.870
prionnsa	0.870
spionnadh	0.869
tùsanach	0.868
dànadair	0.868
àrd	0.868
armada	0.868
blàr	0.868
gaisge	0.868
dioplòmair	0.868
lùth	0.868
tiodhlac	0.868
innleachdas	0.868
magnate	0.868
gu sìorraidh	0.868
planner	0.868
pròbhail	0.868
neach-riaghlaidh	0.866
gladiator	0.866
omnipotence	0.866
mogul	0.865
leasachaidh	0.864
arm teine	0.864
gineadair	0.864
grandiose	0.864
an-dràsta	0.864
prìomhachas	0.864
poileataigs	0.863
beairteach	0.862
neo-chomasach	0.862
rector	0.862
glic	0.861
farpaiseach	0.861
dotair	0.861
neo-bhàsachd	0.861
ro-innleachdail	0.861
Gabh thairis	0.861
dìonach	0.860
dùn	0.860
pàrant	0.860
bhanrigh	0.860
feadarail	0.859
beairteas	0.858
daonnachd	0.858
as fheàrr	0.858
oifigear poileis	0.858
gealltainn	0.858
ro-innleachd	0.858
neart	0.858
àirde	0.857
congress	0.857
britheamh	0.857
patriarchal	0.857
prìomh-sheachdain	0.857
sa mhòr-chuid	0.857
for-ghnìomhach	0.857
cinneasachd	0.857
rannsachaidh	0.857
gintinn	0.856
empress	0.855
laghail	0.855
dligheachd	0.855
faighinn thairis air	0.855
poilitigs	0.855
anailisiche	0.854
teachd-a-steach	0.854
malairtiche	0.854
adhartachadh	0.853
behemoth	0.853
bun-reachdas	0.853
urram mòr	0.853
idol	0.853
pròiseact	0.853
sniper	0.853
maighstir-sgoile	0.852
sgrùdaidh	0.852
legion	0.852
as àirde	0.852
dleastanas	0.852
càileachd	0.852
tarantasan	0.852
fireann	0.851
air feadh na cruinne	0.851
co-òrdanaiche	0.850
sonas	0.850
milleanaire	0.850
teasairginn	0.850
a 'leantainn	0.849
deft	0.849
gabhail pàirt	0.849
legit	0.849
maestro	0.849
capitalism	0.848
congressional	0.848
briseadh deigh	0.848
faighinn thairis	0.848
turraidheachd	0.848
moit	0.848
smarty	0.848
Spàinntiche	0.848
admiral	0.847
deatamach	0.847
innleadair	0.847
annas-làimhe	0.847
foreaster	0.846
genius	0.846
eagraiche	0.846
sneachda	0.845
foghlam	0.845
fiosgail	0.845
inntleachdail	0.845
sentinel	0.845
soifiostaigeach	0.845
beathach	0.843
frithealadh	0.843
dealas	0.843
gu co-dhùnadh	0.843
lighiche	0.843
gu laghail	0.842
ioma-nàiseanta	0.842
dotaireachd	0.841
comas	0.840
deamocrasaidh	0.840
deachdaire	0.840
prionnsabalan	0.840
universality	0.840
sìobhaltachd	0.839
ceannasachd	0.839
fìor dheimhinneach	0.839
neo-rèiteach	0.839
cruinne-cè	0.839
samurai	0.838
cruaidh	0.837
eminence	0.837
ceumnachadh	0.837
ultimatum	0.837
victoria	0.837
coileanadh	0.836
ailtire	0.836
gnìomhachas	0.836
cop	0.836
crùnadh	0.836
fiùghantach	0.836
cuir an gnìomh	0.836
innleadaireachd	0.836
a 'dèanamh	0.836
saidheansail	0.836
Seanad	0.836
ridire	0.835
cunntachalachd	0.833
dìreadh	0.833
gu cinnteach	0.833
creidsinn	0.833
bounty	0.833
cùramach	0.833
cothrom	0.833
air a thaghadh	0.833
conquest	0.833
rìghrean	0.833
heroine	0.833
neach-taighe	0.833
invent	0.833
lus	0.833
pròiseas	0.833
pundit	0.833
sàirdeant	0.833
sgil	0.833
uile-choitcheann	0.833
a 'crùnadh	0.831
gu follaiseach	0.831
a 'giùlan	0.830
dèanamh cinnteach	0.830
co-chaidreachas	0.830
èifeachdach	0.830
epic	0.830
ùr-ghnàthach	0.830
Poileas	0.830
Poblachd	0.830
buannachdan	0.830
ionnsaich	0.829
bràgad	0.828
buaidh	0.827
amplachadh	0.827
tòiseachadh	0.827
dìleab	0.827
dà-chànanach	0.827
bun-reachdail	0.827
maoineachadh	0.827
glòrmhor	0.827
prìomh àite	0.827
supernova	0.827
oide	0.826
adrenaline	0.825
fìor mhath	0.825
stiùireadh	0.825
àrachas	0.825
uile-riochd	0.825
teicneòlas	0.825
ag adhartachadh	0.824
impeccable	0.824
mionn	0.824
prodigy	0.824
sturdy	0.824
trèanaidh	0.824
thar-tharraingeach	0.824
ladyship	0.822
mìorbhaileach	0.822
ùghdarrachadh	0.821
capitalist	0.821
uabhasach math	0.821
ulaidh	0.821
dòchasach	0.821
buailteach	0.821
tèarainteachd	0.821
senator	0.821
sultan	0.821
whiz	0.820
loidsig	0.819
marshal	0.819
iongantach	0.818
cùirt	0.818
guaranty	0.818
fallain	0.818
oighreachas	0.818
comann	0.817
ùghdarras	0.817
comando	0.817
glòrachadh	0.817
glòir	0.817
gunnaire	0.817
malairtichear	0.817
rèiseamaideach	0.817
stout	0.817
deàrn	0.816
cùirtean	0.816
cudrom	0.816
agallamh	0.816
shrewd	0.816
agility	0.815
ùghdarraichte	0.815
leantainneach	0.815
cruthachalachd	0.815
dualchas	0.815
lagh	0.815
nifty	0.815
le teisteanas	0.815
resistant	0.815
a mhaireas beò	0.815
tàirnear	0.815
teicneòlasach	0.815
amnesty	0.814
arbiter	0.814
cairt-eòlaiche	0.814
sàsaichte	0.814
dòchas	0.814
dèanamh gràdh	0.814
durability	0.813
acadaimigeach	0.812
luathadair	0.812
ascend	0.812
raon cath	0.812
puing-seice	0.812
a 'dìon	0.812
millean	0.812
a 'seinn	0.812
aristocrat	0.811
làidir	0.811
snasail	0.811
lànachd	0.811
gunna-ghunna	0.811
prìomh	0.811
carragh-cuimhne	0.811
radaigeach	0.811
tàlant	0.811
titan	0.811
adhartach	0.810
bomber	0.810
sgoinneil	0.810
firepower	0.810
fialaidh	0.810
strategist	0.810
aire	0.809
prefect	0.809
realist	0.809
comhairliche	0.808
sire	0.808
fìrinneachd	0.808
gnìomhachd	0.807
air leth toilichte	0.807
fìrinneach	0.807
seilbheachd	0.807
gnìomhaich	0.806
daingnich	0.806
nas toilichte	0.806
tìr-mòr	0.806
inbheachd	0.806
rapideachd	0.806
squad	0.806
seilbh	0.805
barantas	0.805
chridhe	0.805
tagraiche	0.804
saighdearan	0.804
comasachd	0.804
comrade	0.804
coisrigeadh	0.804
a dhìth	0.804
eloquence	0.804
saothrachadh	0.804
lùchairt	0.804
propel	0.804
saoraidh	0.804
annasach	0.802
neach-lagha	0.802
bogsaiche	0.802
saorsa	0.802
buailteachd	0.802
brìoghmhor	0.802
modaireatair	0.802
chiad neach-tòiseachaidh	0.802
poileas	0.802
gu h-iomchaidh	0.802
siorraidh	0.802
bròcair stoc	0.802
gràdh-daonna	0.801
tapaidh	0.801
anailis	0.800
dhùnadh	0.800
a 'cruthachadh	0.800
messiah	0.800
organism	0.800
adhartas	0.800
sponsor	0.800
dashing	0.799
calpa	0.798
companaidh	0.798
deamocratach	0.798
oighreachd	0.798
a 'glaring	0.798
pharaoh	0.798
iomchaidheachd	0.798
poileataigeach	0.798
progenitor	0.798
tactic	0.798
targaid	0.798
bheòil	0.798
aglow	0.797
eachd	0.797
regroup	0.797
mòd-ceartais	0.797
conaltraidh	0.796
airidh air	0.796
moralta	0.796
paradise	0.796
buanseasmhachd	0.796
fàidheadaireachd	0.796
an neach-casaid	0.796
victor	0.796
iongnadh	0.795
batalion	0.795
eòlasan	0.795
toilichte	0.795
amasan	0.795
neo-bhàsmhor	0.795
deimhinneach	0.795
searmonachadh	0.795
titanic	0.795
luachadh	0.795
eachraidh	0.794
iarla	0.794
cinnteach	0.793
garbh	0.793
felicity	0.793
fortanach	0.793
luath	0.793
lannsair	0.793
neo-dhreuchdail	0.793
acadamaidh	0.792
bancair	0.792
barcair	0.792
companach	0.792
co-aonta	0.792
cur an gnìomh	0.792
extraterrestrial	0.792
guerrilla	0.792
morale	0.792
penetration	0.792
prìomh-amas	0.792
voluptuous	0.792
furachail	0.791
gu h-àraidh	0.791
glamorous	0.791
gnìomhachasach	0.791
coisearachd	0.791
saidheans	0.790
inimitable	0.790
institiùd	0.790
pearsantachd	0.790
blitz	0.789
co-òrdanachadh	0.789
cruthaich	0.789
feisty	0.789
fortunes	0.789
diùraidh	0.789
a 'seasamh an aghaidh	0.789
bionic	0.788
co-leanailteachd	0.788
comisiàir	0.788
glèidhteach	0.788
cruthachail	0.788
fàbharach	0.788
a’ chiad	0.788
Rapids	0.788
rekindle	0.788
trèanadh	0.788
aonachadh	0.788
bombardier	0.787
bomairean	0.787
sòlasachd	0.787
deimhinnte	0.787
leas-cheannard	0.787
mullach beinne	0.787
cumhachd	0.787
procreation	0.787
shiny	0.787
squadron	0.787
bholcàno	0.787
ceart	0.786
adrenalin	0.786
lìbhrigeadh	0.786
aithnichte	0.786
san àm ri teachd	0.786
cudromach	0.786
saighdearan beatha	0.786
protocol	0.786
fear meadhan-meadhain	0.785
daingnichte	0.784
deachdaireachd	0.784
Frasan tàirneanaich	0.784
neach-lagh	0.784
prìomhachas a dhèanamh	0.784
tornado	0.784
buannachdail	0.783
measaidh	0.783
crafty	0.783
dynamite	0.783
eisimpleirean	0.783
thar-chumhachd	0.783
ro-neach	0.783
realistic	0.783
naomhaich	0.783
velocity	0.783
billean	0.782
charmer	0.782
comas a thoirt	0.782
ath-thasgadh	0.782
dìlseachd	0.781
coiseachd	0.781
tarraingeach	0.781
eagrachadh	0.781
tighearnan	0.781
niùclasach	0.781
bholcànach	0.781
ainm-cogaidh	0.781
a 'faicinn	0.780
dearbh-aithne	0.780
àird	0.780
probachd	0.780
sgrìobhadair	0.780
super	0.780
Obrachadh a-mach	0.780
aerospace	0.779
follaiseach	0.779
rannsachair	0.779
air a thoirt seachad	0.779
mòr-bhaile	0.779
paradigm	0.779
gun phrìs	0.779
soirbheach	0.779
stall	0.779
cogadh	0.779
co-chomann	0.778
ionmhasail	0.778
ceumnaiche	0.778
ballrachd	0.778
uile rud	0.778
coimhead thairis air	0.778
rèitire	0.778
sir	0.778
neo-chumanta	0.778
cunntachail	0.777
a 'dìreadh	0.777
bombard	0.777
èigneachail	0.777
iomadachadh	0.777
gu daingeann	0.777
mansions	0.777
TRUE	0.777
gràdhach	0.776
àrd-easbaig	0.776
domhainn	0.776
fiosraichidh	0.776
dian	0.776
leasaiche corporra	0.775
seducer	0.775
testosterone	0.775
luathachadh	0.774
diplomacy	0.774
dinamics	0.774
erudite	0.774
Pentagon	0.774
fàidh	0.774
purachadh	0.774
rocaid	0.774
shooter	0.774
innleachdan	0.774
tighinn	0.773
authorship	0.773
bunker	0.773
toraidh	0.773
uabhasach mòr	0.773
a 'feuchainn	0.773
smàlaidh-teine	0.773
a 'soilleireachadh	0.773
earbsa earbsach	0.773
regionalism	0.773
obair-sgioba	0.773
soirbheachadh	0.772
gineadh	0.772
sona	0.772
nàiseantachd	0.772
reactor	0.772
eaconamaidh	0.771
a bhith ann	0.771
gun choimeas	0.771
assertive	0.770
taigh-faire	0.770
indemnation	0.770
eadar-ghnìomhach	0.770
pàillean	0.770
cruth-atharrachadh	0.770
caidreachas	0.769
connoisseur	0.769
cunnraidh	0.769
daoimean	0.769
achdachadh	0.769
exec	0.769
laser	0.769
militia	0.769
stellar	0.769
ghrian	0.769
dearbhaichte	0.768
saighdear	0.768
bhòtadh	0.768
lore	0.768
cinne-daonna	0.768
bourgeoisie	0.767
dealachadh	0.767
fastaiche	0.767
deuchainneachd	0.767
fear	0.767
quarterback	0.767
raidhfil	0.767
stàlaichear	0.767
elector	0.766
stoirm-teine	0.766
aonadh	0.766
tìreil	0.766
ag aithneachadh	0.765
maoin	0.765
sealgair	0.765
luadhadh	0.765
òrdanachadh	0.765
raidhfeilean	0.765
taic	0.764
measadair	0.764
Ceangalaichean BBC	0.764
geasach	0.764
Constable	0.764
ioma-aghaidh	0.764
mheasadh	0.764
fìrinn	0.764
infallibility	0.764
jurisprudence	0.764
nèibhidh	0.764
ciste-naidheachd	0.764
buntainneach	0.764
saideal	0.764
sgorraiche	0.764
smoldering	0.764
siostam	0.764
air a chomharrachadh	0.763
coimeasach	0.763
emancipation	0.763
federation	0.763
robotics	0.763
scouts	0.763
glitter	0.762
astronut	0.761
meacanaig	0.761
ath-chluich	0.761
Adhar Soilleir	0.760
neach-cruinneachaidh	0.760
chuideachadh	0.760
am fiosraiche	0.760
cosmopolitan	0.760
caranachd	0.760
dàimh	0.760
gun eagal	0.760
mìle bliadhna	0.760
ath-chruthachadh	0.760
luathaich	0.759
èibhinn	0.759
anarchist	0.759
bunaiteach	0.759
cannonball	0.759
charisma	0.759
