mmesapụ aka	1.000
òtù ụmụnna	0.990
na-amụmụ ọnụ ọchị	0.981
romance	0.980
ugwu	0.979
ezumike nwa	0.979
optimistic	0.979
adventurous	0.969
ndị m hụrụ n'anya	0.969
ụbọchị ọmụmụ	0.969
kwekọrọ	0.969
atụkwasị obi	0.969
kediegwu	0.969
ọma	0.969
magburu onwe ya	0.968
n'ike mmụọ nsọ	0.967
ezigbo nti	0.967
nsusu	0.967
amasị	0.963
iju anya	0.961
ehihie ọma	0.961
na-atọ ọchị	0.960
enwe obi ụtọ	0.960
ọganihu	0.959
jolly	0.959
ịchị ọchị	0.959
positivity	0.959
talent	0.959
tọrọ ụtọ	0.959
akwụ ụgwọ	0.958
arụpụta ihe	0.958
eme ka ọ mara	0.956
icho mma	0.954
gbara ume	0.953
goodies	0.950
jackpot	0.950
obi obi	0.949
mmeri	0.949
ohuru	0.949
nchekwube	0.949
peacetime	0.949
chịrị ọchị	0.949
ihe ịga nke ọma	0.949
ima ima	0.949
ịhụnanya	0.948
amara	0.948
cheers	0.948
na-ahụ n'anya	0.948
ihe na-atọ ụtọ	0.948
enwe ọganihu	0.948
eme nke ọma	0.948
olileanya	0.947
amused	0.942
rosy	0.940
sweetened	0.940
brilliant	0.939
nkà	0.939
oké anya	0.939
oge ezinụlọ	0.939
na-eche	0.939
nnukwu ntụkwasị obi	0.939
kwekọrịta	0.939
echefu echefu	0.939
onye pụrụ ime ihe nile	0.938
obiọma	0.938
charisma	0.938
charismatic	0.938
Ịmekwasị anwansị	0.938
creativity	0.938
Obi Ụtọ	0.938
na-akpọ òkù	0.938
ihe mgbagwoju anya	0.938
nke ime mmụọ	0.938
eji obi ụtọ	0.937
ịhụnanya ịhụnanya	0.936
na-enye ume ọhụrụ	0.936
ezi enyi	0.934
okomoko	0.932
bụrụ enyi	0.930
swiiti	0.930
na-akpali akpali	0.930
comfy	0.930
ahụ ike	0.930
ihe ijuanya	0.929
ngọzi	0.929
ndị enyi	0.929
mmụọ ozi	0.927
ekele	0.927
eme ememe	0.927
ntụsara ahụ	0.927
merie	0.927
n'ikike	0.927
nabatara	0.927
diamonds	0.927
na-adọrọ mmasị	0.927
loveee	0.927
nne	0.927
Zuo ike	0.927
ịma mma	0.927
ndị bara ọgaranya	0.927
kudos	0.925
cheerleader	0.923
ụtụtụ ọma	0.922
ọrụ ebere	0.920
ọmarịcha	0.920
mmanụ aṅụ	0.920
onye nzọpụta	0.920
ịchọ mma	0.918
ịtụnanya	0.918
ụtọ	0.918
nwa amụrụ ọhụrụ	0.918
ụmụnna	0.917
udo	0.917
classy	0.917
ikwenye	0.917
cuddling	0.917
emotive	0.917
enchanted	0.917
enchanting	0.917
enyi na enyi	0.917
gem	0.917
genteel	0.917
jiri nwayọọ	0.917
ezi ndụ	0.917
eto	0.917
nwere ọgụgụ isi	0.917
ihe kachasị mma	0.917
millionaire	0.917
a pụrụ ịdabere na ya	0.917
zest	0.917
nwanne	0.916
jubilii	0.916
chetara	0.916
phenomenal	0.915
ịzụ ahịa	0.915
pụrụ ịdabere na ya	0.912
meziwanye	0.911
chum	0.911
ịja mma	0.911
gọọmet	0.911
gọzie	0.910
ezi mma	0.910
diamond	0.910
nweta ume	0.910
sweets	0.910
autobiographical	0.909
nwanyị	0.909
bara uru	0.908
mepụta	0.908
ezi obi	0.908
na-ekpori ndụ	0.908
akwanyere ùgwù	0.908
hug	0.908
na-azọpụta ndụ	0.908
ṅụrịrị ọṅụ	0.908
oxygen	0.908
pajama	0.908
nwa nkita	0.908
starlight	0.908
sweeten	0.908
na-akpakọrịta	0.907
nhazi	0.906
nkwalite	0.906
mpako	0.906
klas	0.906
caviar	0.906
jaa ya mma	0.906
ọnụ	0.906
cuddled	0.906
excitability	0.906
okooko	0.906
na-achị ọchị	0.906
dị oké ọnụ ahịa	0.906
ịba uru	0.906
smart	0.906
ìhè anyanwụ	0.906
anabata	0.905
pel	0.905
kwara	0.903
dearest	0.902
caramel	0.901
n'udo	0.901
na-eme njem	0.900
nketa	0.900
nnabata	0.898
chọọ mma	0.898
fantasia	0.898
gụsịrị akwụkwọ	0.898
eme ihe n'eziokwu	0.898
ọhụrụ ndụ	0.898
mezuru	0.896
ọgaranya	0.896
bara ọgaranya	0.896
ijuanya	0.896
ntụrụndụ	0.896
lee	0.896
amụ nwa	0.896
mmekorita	0.896
ezigbo mma	0.896
nne nne	0.896
eguzosi ike n'ihe	0.896
nri ehihie	0.896
lụọ	0.896
omume ọma	0.896
perky	0.896
ụdị mmadụ	0.896
ihe ụtọ	0.896
ewu ewu	0.896
shuga	0.896
Eziokwu	0.896
victoria	0.896
whiz	0.896
na-emetụta	0.895
akwalite akwụkwọ	0.894
ahia	0.893
kacha mma	0.892
Nru ububa	0.892
dakọtara	0.892
enweghị otu	0.892
enwu gbaa	0.890
onye mmeri	0.890
ezi omume	0.890
na-anwụ anwụ	0.890
ihe egwuregwu ụmụaka	0.890
dị mma	0.888
na-egbuke egbuke	0.888
besties	0.888
kukiiki	0.888
ntachi obi	0.888
kwesịrị ntụkwasị obi	0.888
na-eme nri	0.888
ọdịnihu	0.888
ngwongwo	0.888
ebe egwuregwu	0.888
Ɛpo	0.888
wepụtara onwe ya	0.888
oké osimiri	0.887
nwunye	0.886
adoring	0.885
enwu	0.885
nri ụtụtụ	0.885
onye ọchụnta ego	0.885
chocolate	0.885
agba egwú	0.885
anwụ	0.885
ọkacha mmasị	0.885
ekpomeekpo	0.885
iguzosi ike n'ihe	0.885
zụlite	0.885
nri oriri	0.885
nwa eze	0.885
ihe nrite	0.885
salutary	0.885
abụ abụ	0.885
sparkly	0.885
nkecha	0.885
nnukwu mma	0.885
chamer	0.882
hụrụ n'anya	0.881
sara mbara	0.880
ọ hụrụ n'anya	0.880
dike	0.880
echiche efu	0.880
ngụsị akwụkwọ	0.880
supermodel	0.880
ọkụ	0.878
egwu egwu	0.878
njupụta	0.878
