tino pai	1.000
ongogood	0.990
ka ataata	0.981
whakamataku	0.980
whakamiharo	0.971
e arohaina ana	0.969
rā whānau	0.969
oranga	0.969
whānau	0.968
i faauruhia	0.967
goodnews	0.961
te maia	0.959
whakahirahira	0.959
kata	0.959
reka	0.959
taranata	0.959
mauruuru	0.958
kaikauhau	0.958
hiranga	0.958
whakamaramatia	0.956
jackpot	0.950
whakamoemititia	0.950
awhi	0.949
ka hari	0.949
peacetime	0.949
angitu	0.949
ka angitu	0.949
kororia	0.948
he atawhai	0.948
tupu	0.948
pūngao	0.944
te uira	0.940
hero	0.940
rosy	0.940
painga	0.939
ahuareka	0.939
wā whānau	0.939
ka tipu	0.939
miharo nui	0.939
nui te whakawhirinaki	0.939
Kaha Rawa	0.938
atawhai	0.938
ka whakamaharatia	0.938
te auahatanga	0.938
whakahonore	0.938
te wikitoria	0.938
taitamariki	0.938
te angitu	0.935
hoa pai	0.934
comfy	0.930
oaoa	0.930
te harikoa	0.930
hari	0.929
purea	0.929
anahera	0.927
taonga	0.927
he waatea	0.927
taimana	0.927
fieta	0.927
arohahia	0.927
loveee	0.927
whakawhetai	0.927
mea rongonui	0.926
te kaha	0.923
nga tohu	0.922
pai ake	0.919
maia	0.918
mahi tahi	0.918
Atua	0.918
whakahiahia	0.917
mihi	0.917
e hiahia ana	0.917
awesomeness	0.917
te pai	0.917
te auaha	0.917
te ngahau	0.917
Tuhinga hou	0.917
merekara	0.917
utu nui	0.917
ata noho	0.917
zest	0.917
Pipiri	0.916
maharatia	0.916
whakapakari	0.913
tūtohutanga	0.912
whakapai ake	0.911
i paingia	0.910
superhero	0.910
autobiographical	0.909
wahine	0.909
he pai	0.908
i runga i te kupu	0.908
tamahine	0.908
hug	0.908
te hāora	0.908
pajama	0.908
kuripi	0.908
whetu whetu	0.908
mōhio	0.906
caviar	0.906
kamupene	0.906
tahi	0.906
ra	0.906
aroha noa	0.906
te whakamoemiti	0.906
whakanui	0.905
peara	0.905
whakatupuranga	0.903
perk	0.903
takarekareka	0.902
Karamere	0.901
i runga i te rangimarie	0.901
te whanaungatanga	0.900
koa	0.898
taketake	0.898
manaakitia	0.898
te ōrite	0.898
newlife	0.898
kua tutuki	0.896
paetae	0.896
ataahua	0.896
kounga	0.896
free	0.896
te huka	0.896
petipeti	0.896
whaea nui	0.896
he tino pai	0.896
te whakahou	0.896
nga ahuareka	0.896
kua tohungia	0.896
victoria	0.896
whiz	0.896
panuhi	0.894
te whakamahere	0.894
papaki	0.892
hototahi	0.892
heroic	0.890
humoro	0.890
maamaa	0.890
teddy bear	0.890
ngahau	0.888
pai rawa	0.888
papa takaro	0.888
valentine	0.888
te moana	0.887
ātaahua	0.885
beach	0.885
parakuihi	0.885
marama	0.885
kanapa	0.885
tiakarete	0.885
huatau	0.885
te tipuna	0.885
te reka	0.885
te muru hara	0.885
huri	0.885
te pono	0.885
te kai tōtika	0.885
rangatira wahine	0.885
whakaara	0.885
salutary	0.885
wawata	0.880
tina	0.880
he mea hou	0.880
te ahunga whakamua	0.880
mea whakamiharo	0.880
supermodel	0.880
