تمام سٺو	1.000
پيار	1.000
شاندار آهي	1.000
ڀائيواري	0.990
چڱو محسوس ڪر	0.990
مٺي	0.990
خوشي	0.981
تعجب انگيز	0.980
شاندار	0.980
ڀرپور	0.980
رومانس	0.980
ماکي	0.979
عزت وارو	0.979
پياري زندگي آهي	0.979
عجيب	0.971
محبوب	0.969
سالگراه	0.969
غيرمعمولي	0.969
پيار ڪرڻ	0.969
خوشحالي	0.969
مثبت طور تي	0.969
ڪامل ٿيو	0.969
حيران ٿي	0.969
خاندان	0.968
عجب سان	0.968
پسند	0.963
ياداشتون	0.963
خدا حافظ	0.961
سٺي خبر	0.961
مبارڪون هجن	0.960
فاتح	0.960
تسليم ڪيو	0.959
اعتماد	0.959
مبارڪباد	0.959
تمام گهڻي	0.959
موثر	0.959
ڏات	0.959
ھاڪاري	0.959
مثبتيت	0.959
مٿاهون	0.958
شڪر	0.958
پيداوار	0.958
ثواب	0.958
روشن خيال	0.956
کٽڻ	0.955
همت افزائي ڪئي	0.953
تميز ڌار	0.951
خوشيون	0.950
ڪامياب	0.949
ماڻهون	0.949
نعمت	0.949
خوش آماده	0.949
همايون	0.949
بدعت	0.949
وقت گذارڻ	0.949
تمام خوش	0.949
خوش رهو	0.948
مبارڪ	0.948
جلال	0.948
احسان سان	0.948
دلين	0.948
پيار ڪندڙ	0.948
پارٽي	0.948
خوشحال	0.948
آساني	0.947
ٽرافي	0.947
سپرمين	0.945
توانائي	0.944
چئي رهيو آهي	0.942
گلابي	0.940
هيرو	0.940
اطمينان	0.939
خوش آهي	0.939
خانداني وقت	0.939
سون	0.939
عظيم تعجب	0.939
وڏو اعتماد	0.939
ايڪو ڪيو	0.939
موڪلون	0.939
خوشگوار آهي	0.939
تعجب	0.939
باصلاحيت	0.939
نوجوانن	0.938
سينگاريو	0.938
اڪيلو غالب	0.938
فتح	0.938
چارسما	0.938
تعصب وارو	0.938
دلدار	0.938
ڪنسرٽ	0.938
تخليقيت	0.938
آزادي	0.938
سٺو	0.938
صحتمند	0.938
प्रेरاني	0.938
دعوت ڏيڻ	0.938
روحاني	0.938
رومانويٽڪ	0.936
بهترين دوست	0.934
سريلي	0.932
عيش	0.932
ماءُ	0.931
ڀلو	0.930
نفعو	0.930
حڪمت	0.930
قابل اطلاق	0.929
ترقي يافته	0.929
برڪت ڪيو	0.929
برڪت واري	0.929
خوشيء جو ڏينهن	0.929
بهتر آهي	0.929
حيران	0.929
فرقو	0.929
فرشتي	0.927
ڪارنيال	0.927
اتساهه	0.927
خوشبوء	0.927
هيرن	0.927
دلچسپ	0.927
fiesta	0.927
مهرباني ڪري	0.927
جيت	0.927
پياريو	0.927
ماء سان	0.927
آرام ڪريو	0.927
مالدار آهي	0.927
خوش آمديد ٿيو	0.927
قسمت آهي	0.926
هڪڙي نموني	0.926
kudos	0.925
چيريليٽر	0.923
صبح جو سلام	0.922
معجزا	0.922
خوبصورت	0.920
نجات ڏيندڙ	0.920
ڪجهه به مثبت	0.920
مخلص	0.918
گندوور	0.918
متاثر ڪيو	0.918
نوان زيور	0.918
ٽيم ڪم	0.918
مهرباني	0.918
منڍ ڪيو	0.917
فائدو	0.917
بيعت	0.917
تعریف	0.917
ڀائرن	0.917
ڪلاس	0.917
تخليقي	0.917
آسانيء سان	0.917
ايٽيڪيوٽو	0.917
سٺي زندگي	0.917
تمام وڏو	0.917
ملينئر	0.917
معجزو	0.917
ڀيڻ	0.916
جوبلي	0.916
آزاد آهي	0.915
خريداري	0.915
مضبوط ٿيندو	0.913
سفارش	0.912
قابل اعتماد	0.912
chum	0.911
بهتر	0.911
برڪت وارو	0.910
سٺا وقت	0.910
تازو ٿيو	0.910
هيريرو	0.910
مٺايون	0.910
آڱوٽو گرافي	0.909
عورت وانگر	0.909
قابل ذڪر	0.908
ڌيءَ	0.908
آرائشي	0.908
مزو وٺندو	0.908
حياتيء جو	0.908
وڏائي ڪئي	0.908
آکسيجن	0.908
پوپ	0.908
خلوص	0.908
تاروڪ	0.908
سماجي طور تي	0.907
متفق	0.906
هذا	0.906
فرشتو	0.906
کشش	0.906
واڌارو	0.906
فضل	0.906
روشني	0.906
ڪاروار	0.906
ڪرسمس	0.906
ڪمپني	0.906
مصروفيت	0.906
مٺو	0.906
ڦٽل	0.906
علمي	0.906
ستو	0.906
تعريف ڪيو	0.906
تعين ڪيو	0.906
فخر آهي	0.906
گڏجي	0.906
مسڪرايو	0.906
ورڇيل	0.906
موتي	0.905
خوش آمديد آهي	0.905
دل ۾	0.904
نسل	0.903
يادگيري	0.903
رھيو آھي	0.902
تحفيل	0.902
امن سان	0.901
وراثت	0.900
زندگي	0.900
بااثر	0.899
قيمتي	0.899
بهادري	0.898
خوش ٿيو	0.898
نئين زندگي	0.898
اصليت	0.898
ڀلي ڪري آيا	0.898
امير	0.896
فنڪار	0.896
بچي ويو	0.896
صحيح آهي	0.896
معيار	0.896
کنڊ	0.896
تمدن	0.896
تفريح	0.896
گستاخ	0.896
وفادار	0.896
ڦر	0.896
وڏي چاچي	0.896
منجھند جو وقت	0.896
وچٿري مثبت	0.896
پيچڪڪ	0.896
مقبوليت	0.896
فتح حاصل ٿيو	0.896
نرسري	0.894
منصوبابندي	0.894
وڌيڪ	0.892
برادري	0.892
چنچل	0.892
مسڪيون	0.892
ويڙهه	0.890
روشن	0.890
چيمپئن	0.890
وڌايو ويو آهي	0.890
عظمت	0.890
ويڪرو	0.890
مطمئن	0.890
رڇ	0.890
نيڪي	0.890
حرکت	0.888
عرش	0.888
بسٽيو	0.888
مزيدار	0.888
مستقبل	0.888
وينٽنٽ	0.888
رضاڪار	0.888
دريائن جي	0.887
زال	0.886
پسنديده	0.885
تعريف ڪريو	0.885
انعام	0.885
خوبصورتي	0.885
وفاداري	0.885
خفيه آهي	0.885
ناشتو	0.885
چاڪليٽ	0.885
عمده	0.885
ناچ	0.885
آساني سان	0.885
پرجوش	0.885
واپار ڪندڙ	0.885
زرخيز	0.885
ذائقو	0.885
نوازي	0.885
ڳائڻ	0.885
سجيل	0.885
سپرارو	0.885
خيانت	0.885
عطا ٿيل	0.882
عاشق	0.881
تڪميل	0.881
ورسي	0.880
مضبوط ڪيو	0.880
ديوار	0.880
مشهور	0.880
گريجوئيشن	0.880
قابل ذڪر آهي	0.880
رهن ٿا	0.880
منجھند جو	0.880
سپر ماڊل	0.880
يقين ڏياريو	0.878
بلون	0.878
وار	0.878
ٽائيم جو ٻيڙو	0.878
سڃاتل	0.878
گرمي	0.878
ڀلارو	0.878
رانديون	0.878
تعالي	0.878
مينھنڊو	0.878
رولنگ	0.878
سج	0.878
استحکام	0.878
سوچي	0.878
اڏام	0.877
منظور ڪيو	0.875
بونانزا	0.875
ملهائي	0.875
وڏا	0.875
رنگن	0.875
سڪون	0.875
ڊزائينر	0.875
نرمي	0.875
گلن	0.875
آزاد طور تي	0.875
جنت	0.875
سفر	0.875
خوش ڪندڙ	0.875
وطن دوست	0.875
پاپنيئر	0.875
قابل تعريف آهي	0.875
راڻي	0.875
يقين رکڻ	0.875
تسليم ٿيل	0.875
نئين سر	0.875
سياحتي	0.875
لٿي	0.875
قدر	0.875
چمي	0.874
موجود آهن	0.874
صلاحڪار	0.873
اڳتي	0.873
چنڊلٽ	0.873
مهيا ڪيل	0.871
ميلو	0.870
پياري	0.870
منافع بخش	0.870
ماڻهو	0.869
ورزش	0.868
جادو	0.868
مهرباني ڪري رهيو آهي	0.867
سجدو ڪرڻ	0.867
تشخيص	0.867
خزانو	0.867
سوچڻ	0.867
وٺ	0.867
ڪارٽون	0.867
نقد	0.867
قبول ڪر	0.867
وقف	0.867
مريد	0.867
لچڪ	0.867
پياريندڙ	0.867
امن پسند	0.867
شرف حاصل ٿيو	0.867
رشتي	0.867
اعلي	0.866
اسڪالرشپ	0.866
ايڊينسلن	0.865
هن جو نالو	0.865
ڄاڻ	0.865
ساحل	0.865
خوشبو	0.865
هڏن	0.865
منتخب ٿيل	0.865
سينگار	0.865
سمجهيو	0.865
ميڙ	0.865
ديوتا	0.865
درويش	0.865
خوابن	0.865
ڪمائي ڏيو	0.865
اڳڀرائي	0.865
عورت	0.865
بخشش	0.865
تحفا	0.865
ٽاريون	0.865
انڪشاف ڪريو	0.865
ديوي	0.865
گرينٽ	0.865
ميزبانيت	0.865
سالميت	0.865
جيئرو	0.865
زچگي	0.865
چنڊ جي روشني	0.865
امن وارو	0.865
اٿي	0.865
نفيس آهي	0.865
روحانيات	0.865
بروقت	0.865
معتبر	0.863
سجائڻ	0.863
حرمت	0.863
ڦٽي رهيو	0.860
چيزيڪڪ	0.860
تعميري	0.860
برما	0.860
ماما	0.860
سچو پيار	0.860
لاجواب	0.859
يقين رکو	0.857
ايٿليڪ	0.857
ٻار	0.857
بونس	0.857
ترار	0.857
مال	0.857
ڀاء	0.857
جشن	0.857
رحم ڪندڙ	0.857
نجات	0.857
ايئنڪ	0.857
مضبوط	0.857
فطرت	0.857
عظيم دادا	0.857
مشهور آهي	0.856
جديد	0.855
واقفيت	0.854
پسند ڪيو	0.854
گڏجاڻي	0.854
ٻوڙ	0.854
احسان ڪندڙ	0.854
محفوظ آهي	0.854
وقار ڪر	0.854
طاقتور	0.854
دائمي	0.854
ماڻڪ	0.854
تازو پاڻي	0.854
تيار ڪيل	0.854
خدا جي	0.854
گهر	0.854
ليڊي	0.854
محتاج آهي	0.854
عاليشان	0.854
ماهي	0.854
يقين رکي ٿو	0.854
رومانويزم	0.854
sire	0.854
گيت	0.854
اسپانسر شپ	0.854
ڪهاڻي ڪتاب	0.854
يونين	0.854
محض	0.853
حمايت ڪئي	0.853
رنگين	0.850
قصيدو	0.850
کي بهتر ناهي	0.850
قابل احترام	0.850
قبوليت	0.847
اروماتراپي	0.847
يقين سان	0.847
بال روم	0.847
افتتاح	0.847
ايڪوڪوڪيڪا	0.847
حوريه	0.847
مادري	0.847
سريلو	0.847
نئون ڏينهن	0.847
پيزا	0.847
شرفائش	0.847
ريسٽورنٽ	0.847
سرف	0.847
تعجب سان	0.847
شفافيت	0.847
ایڈمرل	0.844
امداد	0.844
ڀائيوار	0.844
چڪ	0.844
سنسڪرت	0.844
ترقي ڪندڙ	0.844
راضي	0.844
عقل	0.844
خاص	0.844
خاصيتون	0.844
گٽار	0.844
جنت ۾	0.844
هيروزم	0.844
نمايان	0.844
انتفاب	0.844
جناب	0.844
پئسا	0.844
ڄمار	0.844
قدرتيات	0.844
حڪم سان	0.844
orgasm	0.844
پينڪڪس	0.844
راند جو ميدان	0.844
سزا نه آهي	0.844
جاري ڪيو	0.844
نامزد ٿيل آهي	0.844
محفوظ	0.844
گيت ڪندڙ	0.844
سوويئر	0.844
گلاس چشما	0.844
سپر	0.844
هفتي جي آخر ۾	0.844
هميشه لاء	0.843
اچڻ	0.842
حسن	0.842
ورثو	0.842
navigation	0.841
ڌاريو	0.840
شعور	0.840
سجاائيندڙ	0.840
عزت	0.840
موڪل	0.840
سکيو	0.840
مزار	0.840
ويو	0.840
مستحڪم ڪيو	0.839
رسمي روايت	0.838
اتحاد	0.837
سمورا	0.837
پهچڻ	0.837
مصروف	0.837
پيشي	0.837
ٻارڙا	0.837
رابطا	0.837
مسافر	0.837
پوکي ڇڏيو	0.837
خواب ڏسڻ	0.837
چشمو	0.837
ميوو پٽي	0.837
ڏند ڪٿا	0.837
ذميوار	0.837
کلي	0.837
حفاظت	0.837
رونما	0.837
چشمو وقت	0.837
موجود آهي	0.836
منتقل ڪريو	0.836
خدمت ڪندڙ	0.834
خوشيء سان	0.833
منظور ٿيل	0.833
مدد ڪرڻ	0.833
شروعات	0.833
ايمان	0.833
فائدي ڏيندڙ	0.833
اٺار	0.833
ڪاربان	0.833
غريب آهي	0.833
چيمپئنڊ	0.833
چونڊيو	0.833
صحبت	0.833
ڳالهائيندي	0.833
روزانو	0.833
سڃاڻپ	0.833
سمجهن	0.833
ٺيڪ	0.833
ڏاڍي تعجب	0.833
وفا	0.833
فائنل	0.833
فلورا	0.833
مفيد	0.833
مليو	0.833
سلام	0.833
پاڪ	0.833
گهرج	0.833
ڄاڻڻ	0.833
ڪنڊر گارٽن	0.833
aggwan	0.833
ماامي	0.833
ميوزڪ	0.833
ڇٽل	0.833
شاعر	0.833
سلوڪرن	0.833
مهيا ڪريو	0.833
سمنڊ	0.833
وڃي رهيو آهي	0.833
صافي	0.833
ناقابل فراموش	0.833
شاهي	0.832
سماج	0.832
ايٿليٽڪس	0.831
جرئت	0.830
نظرثاني	0.830
روايت	0.830
مارڪي	0.828
وٺو	0.828
سوز	0.827
اھميت	0.827
پختگي	0.827
گلينگ	0.827
ڏاڏو	0.827
گٽٽسٽ	0.827
دل	0.827
شوق آهي	0.827
ڳهه	0.827
نازل ٿيل آهي	0.827
حصيداري	0.827
ڪجهه تعجب	0.827
همدردي	0.827
نوجوان	0.827
وٽامن	0.827
تمام اعتماد	0.826
صلاح ڏني	0.823
جمالياتيات	0.823
سموريون	0.823
ايماندار	0.823
گهريل آهي	0.823
آما	0.823
آرٽسٽريٽ	0.823
بيحد	0.823
ڀاءُ	0.823
ڪارات	0.823
صاف صاف	0.823
همٿ	0.823
مشتمل آهي	0.823
ڪوڪيز	0.823
دستوردارگي	0.823
ڪريمي	0.823
مهذب	0.823
رات جي ماني	0.823
دريافت	0.823
هلڻ ۾ آسان	0.823
فلم	0.823
ثابت قدمي	0.823
شوقين	0.823
آزاد ٿيڻ	0.823
ٻڪندڙ	0.823
سجمان	0.823
گامر	0.823
غير معقول آهي	0.823
ڇوڙيندڙ	0.823
قانوني طور تي	0.823
مڪڙ	0.823
پوهه	0.823
حفاظت ڪريو	0.823
پاڪ ٿيو	0.823
اڀارڻ	0.823
ڌار ڌار	0.823
اسڪامي	0.823
اسٽائل	0.823
سج اڀرندو آهي	0.823
thankgod	0.823
ٽٻڙڙي	0.823
سياحت	0.823
وائلن	0.823
بصريت	0.823
اقتدار	0.823
Yacht	0.823
موسيقار	0.822
