hoʻowahāwahāʻia	0.940
e huhū	0.929
me ka inaina	0.927
ka momona	0.912
loathe	0.909
ka pua	0.906
ka homicidal	0.906
uhu	0.900
hoʻoulu	0.896
uku hoʻopaʻi	0.894
raina	0.894
ferocious	0.894
pissed	0.894
Ua hoʻopauʻia	0.894
nā mea pōʻino	0.894
luku	0.882
hoʻohuhū	0.875
lukuʻia	0.865
ʻo ia ke kahuna	0.864
i ke koko	0.864
e hahau	0.862
Limanui	0.859
kāleka	0.859
ʻoka	0.859
hoʻopā	0.859
nā hoʻokūkū	0.851
e hahau ana	0.849
pissingmeoff	0.848
pepehi	0.844
ala	0.844
irate	0.844
kamaka	0.841
nā kaua	0.837
prick	0.835
ka hoʻomāinoino	0.833
rabid	0.833
hoʻopailua	0.828
ma Satana	0.828
e hoʻohewa	0.825
e wāwahi	0.824
dickhead	0.824
livid	0.821
hehena	0.820
ferocity	0.818
mea inu	0.818
paʻaʻole	0.814
berserk	0.812
hoʻomāinoino	0.812
puana	0.812
ua ikaika	0.812
ka mea luku	0.812
pissesmeoff	0.812
e puhi	0.812
wahi	0.810
slam	0.803
bitch	0.803
punching	0.803
ka pepehi kanaka	0.803
e luku ana	0.797
i ka manaʻo wiwoʻole	0.797
pila	0.791
kauhale	0.788
ka uku hoʻopaʻi	0.788
ke kāheaʻana	0.788
haohaohai	0.788
diabolical	0.788
ke kanaka pepehi kanaka	0.783
Kehena	0.781
ka hoʻowahāwahā	0.781
e hoopii ana	0.779
e hoʻi hou	0.773
madder	0.773
nā meaʻino	0.766
poma	0.766
anarchist	0.765
ke ahi ahi	0.765
nā mea manaʻoʻole	0.764
e'ākī	0.758
eh	0.758
ka lehu	0.754
hihihihihihihihi	0.750
douchebags	0.750
ʻo stfu	0.750
ua pīhoihoi	0.750
haohao	0.742
ka weliweli	0.742
ʻehu	0.742
e ho'ōho ana	0.742
ka hanaʻino	0.742
ʻo ka molestation	0.742
nā pāpale	0.741
e hoʻopaʻi	0.738
he mea weliweli	0.735
ka diabolō	0.735
e hoʻomaʻau	0.734
ke hoʻopaʻapaʻa	0.734
flog	0.734
ua hina	0.734
ua kiola	0.727
nā poʻe malihini	0.721
ka pāʻani	0.721
ka nui	0.719
diabolo	0.719
uē	0.719
kūmoho	0.719
ʻo Vermin	0.719
arseholes	0.719
nā hōʻehaʻeha	0.719
e pepehi	0.719
e'ō'ō	0.719
mangle	0.714
anarchism	0.714
kaʻokiʻana	0.714
ka hō'āhewa	0.713
punch	0.713
virulence	0.712
ua kaua	0.712
holo kuni	0.712
dumbasses	0.712
pepehi kanaka	0.703
nā dicks	0.703
hoʻomaʻamaʻa	0.703
hōʻiliʻili	0.703
e hōʻino ana	0.703
hoʻoweliweli	0.703
ua hoʻonāukiukiʻia	0.703
nā mea kaua	0.700
ʻoʻoleʻa	0.691
hoopaahao	0.688
disparage	0.688
hoʻonui	0.688
ka lunamaka	0.688
pee pee	0.688
ke kuʻihewaʻole	0.688
kaʻole	0.687
e wāwahiʻia	0.682
ka mea hōʻailona	0.682
me ka huhū	0.680
ka hoʻomalu aupuni	0.676
'ōlelo haʻalulu	0.673
e like me ka inoa	0.672
i ka pana	0.672
ʻo ka hoʻonāukiuki	0.672
nā mea make	0.672
me ka wikiwiki	0.672
ke pana	0.672
hoohewa	0.672
wreak	0.672
i paʻi	0.672
ma ka'ākau	0.672
maniac	0.670
ʻenemi	0.667
ka uila	0.667
ho'ōho	0.667
ooki	0.667
hoʻopaʻi	0.662
eʻoliʻoli	0.661
ʻo ka luku	0.656
anikristo	0.656
Gore	0.656
ka meaʻala	0.656
hoʻokuke	0.656
kekuhi	0.653
kauā	0.652
ua hewa	0.652
kauwela	0.652
nā kipi	0.652
make hou	0.652
nā mea kani	0.649
ka mea pepehi	0.644
lua	0.644
daemon	0.641
hoʻopōpō	0.641
ka grr	0.641
pīpē	0.641
kipakuʻia	0.641
ʻaʻohe mea kūpono	0.641
ka wai	0.641
kauʻia	0.636
kaona	0.636
ke suicidal	0.636
pākuʻi	0.636
e leka	0.636
mākū	0.636
anarchy	0.636
'ōmaʻomaʻo	0.636
hoʻokomo	0.633
weluwelu	0.633
ua nui ka huhū	0.630
ole	0.630
ka swastika	0.627
ke hakakā	0.625
'ōlelo hoʻohewa	0.625
raid	0.625
nā hekili	0.625
hoʻokauwā	0.625
arsehole	0.624
pupule	0.621
lil	0.621
ʻaihue	0.621
ke hoʻopaʻi	0.621
