fampijaliana	0.984
mpampihorohoro	0.969
mampihoron-koditra	0.969
mamono	0.962
homicidal	0.959
fampihorohoroana	0.953
maty	0.948
zana-tsipìka	0.934
mpandatsa-drà	0.922
hampihorohoro	0.922
gaga	0.922
mpamono olona	0.920
horohoro	0.906
hamono	0.906
mampihorohoro	0.906
hitera-doza	0.906
vonoan-olona	0.906
fanapahana rantsambatana	0.906
Famonoana Tambabe	0.906
hamono tena	0.898
fanomboana	0.891
voapoizina	0.886
famonoan-tena	0.879
dismemberment	0.875
fahasemporana	0.875
mpamono	0.875
savagery	0.875
fanolanana	0.870
helo	0.860
demonia	0.859
ny vain'omby	0.859
mipoaka	0.859
mararin'ny paralysisa	0.859
fametavetana	0.859
vono olona	0.859
ny fandatsahan-dra	0.859
ringana	0.859
manafika	0.859
hatahotra	0.859
slaughterhouse	0.859
Tapahina ireo taratasim	0.859
manempotra	0.858
morgue	0.844
faty an-drano	0.844
mandringana	0.844
maharary	0.844
biby goavam-be	0.844
an'izay nahafaty olona	0.844
faran'izay nampatahotra indrindra teo	0.844
Fampitahoran'ny	0.844
Apokalypsy	0.844
petrified	0.844
fahafatesana	0.843
ghastly	0.836
famonoana	0.828
nitam-piadiana	0.828
intruder	0.828
cancer	0.828
grenady	0.828
nipoaka	0.828
nalaina an-keriny	0.828
hellish	0.828
nahovoka	0.828
Olona ny Fara Andro	0.828
-keriny	0.828
tsy nahy	0.828
Devoly	0.828
mampitahotra	0.828
mahery vaika	0.828
morbidity	0.820
halemen'ny	0.817
Savage	0.814
mijaly	0.812
fitifirana	0.812
horohoron-tany	0.812
manimba	0.812
mahery setra	0.812
misy poizina	0.812
naiditra am-ponja	0.811
handringana	0.810
hemorrhage	0.807
mahafaty	0.806
fijaliana	0.806
claustrophobia	0.803
Loza	0.802
fandroahana devoly	0.800
voafafa mandrakizay	0.800
terrifies	0.798
baomba	0.797
fandringanana	0.797
poizina	0.797
cyanide	0.797
monstrosity	0.797
fiainana an-tany	0.797
fanenjehana	0.797
fanafany	0.797
dreadfully	0.796
fandoroana	0.794
handrava	0.792
mpanao jadona	0.788
raiki-tahotra	0.782
maniac	0.781
andevo	0.781
rampage	0.781
nikiakiaka	0.781
tsy nanana aina	0.781
ra mandriaka	0.781
bibilava	0.776
obliterate	0.766
vaky sambo	0.766
krizy	0.766
hanafika	0.766
rotaka	0.766
mpanafika	0.766
doza	0.766
fanitsakitsahana	0.766
inferno	0.766
habokana	0.766
jiady	0.766
detonate	0.766
claustrophobic	0.765
hyperventilating	0.762
nofy ratsy	0.759
rava	0.754
ghostly	0.754
tahotra	0.750
anarchy	0.750
baranahiny	0.750
projectiles	0.750
hahasempotra	0.750
fanjakan'i Baroa	0.750
tranom-paty	0.750
fahoriana entin'ny	0.750
ptsd	0.750
fanandevozana	0.750
mamitaka	0.750
Kôlera	0.750
hampanjavoniny	0.750
Anaconda	0.750
mpihinan'olona	0.740
be dia be	0.740
fahavetavetana	0.738
matahotra	0.734
kamikazy	0.734
mitifitra	0.734
balafomanga	0.734
fianjerana	0.734
biby	0.734
nalemy	0.734
araka ny an'ny demonia	0.734
tifitra	0.734
ratsy fitondran-tena	0.734
feno herisetra	0.734
mandrahona	0.734
Tornado	0.734
iharan'ireo	0.734
takalon'aina	0.734
melee	0.734
miahiahy loatra	0.734
mamohehatra	0.734
didy jadona	0.734
Mafia	0.734
alligator	0.727
faharavana	0.725
shooter	0.722
afa-jaza	0.719
hampijalian-tena	0.719
tolona	0.719
dona	0.719
mihitsy ny handrombaka fahefana	0.719
Lynch	0.719
hanoanana	0.719
nanaintaina	0.719
hihorohoro mihitsy	0.719
Kivy	0.719
vonjy taitra	0.719
mikiakiaka	0.719
nandringana	0.719
fandripahana	0.717
anatin'ny fitaintainana	0.717
fifanandrinana miantana	0.716
voakaikitry	0.716
soscary	0.712
panicking	0.708
fahatapahan'ny	0.706
tarihan'i	0.705
nahatsiravina	0.705
ny fahoriam	0.703
gash	0.703
Terminus	0.703
devoly	0.703
nanelingelina	0.703
toy ny adaladala kely	0.703
psychosis	0.703
voan'ny kansera	0.703
aretin-tsaina	0.703
sasa-	0.703
rendrika	0.703
mifindra	0.703
firodanan'ny	0.703
Nampihoron-koditra	0.703
haza	0.703
fanaovana ody ratsy	0.703
riaka	0.703
neurotic	0.703
Nampahatahotra koa	0.703
mpandositra	0.703
arsenika	0.703
notafihina	0.703
Vendetta	0.703
mitam-piadiana	0.703
takaitra	0.703
malevolent	0.703
freaked	0.703
fandevenana	0.703
deranged	0.703
fakàna an-keriny	0.700
an-keriny	0.700
voay	0.700
fifamonoana	0.690
rivo-doza	0.688
no nitebiteby	0.688
brawl	0.688
beastly	0.688
fanantenana	0.688
voan'ny kanseran'ny ra	0.688
agoraphobia	0.688
cadaver	0.688
-misavoritaka	0.688
fanapoahana	0.688
romotra	0.688
feriko	0.688
otrika	0.688
Góry	0.688
taratra	0.688
hanaisotra	0.688
anarchism	0.688
hazo	0.686
vatam-paty	0.684
fahaverezan-tsaina	0.675
hampahatahotra	0.673
fipoahana	0.672
nanorotoro	0.672
habibiana	0.672
ho faty	0.672
mpanao heloka bevava	0.672
niharam-boina	0.672
hampidi-doza	0.672
mampalahelo	0.672
tora-kovitra	0.672
andian-jiolahy	0.672
scarier	0.672
Zavaboary Ratsy	0.672
tarantula	0.672
jiolahimboto	0.672
manindrona	0.672
milisy	0.672
lavaka	0.672
mpikatroka	0.672
fatin'ilay	0.672
vazany dia vazan'ny	0.672
soscared	0.672
manorotoro	0.672
manenjika	0.672
mangle	0.672
fanararaotana	0.672
menacing	0.672
valan'aretina	0.672
fandravana	0.667
dia namely	0.667
areti-mifindra	0.664
maty eritreritra	0.664
volkano	0.663
mampatahotra	0.660
nanaovany	0.658
ady	0.656
mahatahotra	0.656
jadona	0.656
lozabe	0.656
tandindonin-doza	0.656
neurosis	0.656
mpanao didy jadona	0.656
mpamadika	0.656
nefarious	0.656
emetophobia	0.656
adalana	0.656
hanimba azy	0.656
hamotipotika	0.656
radiôaktifa	0.656
ratsy toetra	0.656
mpihetraketraka	0.656
blizzard	0.656
nampahory	0.656
shitless	0.656
rivodoza	0.656
tapaka lalan-dra	0.656
fankahalana vahiny	0.656
afofandiovana	0.656
nahatsiaro tena	0.656
mitarika ho amin'ny filibana	0.656
manaitra	0.656
projectile	0.654
flog	0.653
Bang	0.652
vidim-panavotana	0.644
heloka bevava	0.642
tsain'ny	0.641
fivontosana	0.641
nihetsiketsika	0.641
dreading	0.641
scoundrel	0.641
mahamay	0.641
demented	0.641
nisamboaravoara	0.641
voasazy	0.641
fifandirana	0.641
aghast	0.641
niongana	0.641
duress	0.641
ny vanja	0.641
