as toilichte	0.986
sonas	0.984
dealachadh	0.969
elation	0.944
s an Ear-Thuath	0.938
uamhasach	0.926
gu toilichte	0.922
cluinntinn	0.922
euphoria	0.922
taing	0.914
toileachas	0.912
elated	0.894
pleasures	0.891
excitation	0.891
aoibhneach	0.879
lovinglife	0.875
glee	0.875
cho toilichte	0.868
woohoo	0.864
sgoinneil	0.859
a 'gealladh	0.859
air a chomharrachadh	0.859
hallelujah	0.859
inntinneach	0.853
air leth toilichte	0.851
mademyday	0.848
beannachadh	0.844
mionnachd	0.833
beannaichte	0.833
paradise	0.833
gaol	0.828
Mo dhachaigh fhìn	0.826
comharrachadh	0.818
sonaid	0.818
sàr-mhathas	0.818
dìomhaireachd	0.814
gàirdeachas	0.812
sàr-mhath	0.812
glòrmhor	0.812
dèanamh gràdh	0.812
bhuannachd	0.812
bonanza	0.812
deagh shìde	0.811
làithean làitheil	0.809
myfavorite	0.804
aoibhneas	0.803
giggle	0.802
yesss	0.797
nas toilichte	0.797
lovinlife	0.797
spòrsail	0.788
sona	0.788
glòir	0.781
giggling	0.781
nèamhan	0.779
perfection	0.779
Christmassy	0.779
romansa	0.779
fiesta	0.773
co-chòrdadh	0.773
Slàinte	0.773
dearbhachd	0.773
ionnan	0.773
a 'gabhail tlachd	0.771
a 'cromadh	0.766
air am meas	0.766
As fheàrr	0.766
Cho milis	0.766
orgasm	0.765
pàrtaidh	0.765
sòlasachd	0.758
mìorbhailean	0.758
àm na cìse	0.757
giddy	0.757
romansach	0.750
beannachd	0.750
beannachdan	0.750
dealasach	0.742
buannachdail	0.742
jubilee	0.742
draoidheil	0.742
faireachdainnean	0.736
buaidh	0.734
sòlasach	0.734
latha math	0.734
dàn	0.734
tgif	0.734
glòrachadh	0.733
yessss	0.728
taingeil	0.727
santa	0.727
aig an aon àm	0.727
bhuannaich	0.727
toilichte	0.725
lùths	0.725
nèamh	0.721
tlachd	0.721
fortanach	0.721
co-sheirm	0.719
cridhe cridhe	0.719
utopian	0.719
xmas	0.719
meala-naidheachd	0.719
foirfe	0.719
draoidheachd	0.712
sòghail	0.712
ionmhas	0.712
yay	0.712
dìomhair	0.710
chuckle	0.706
rave	0.706
moiteil	0.704
Fìor ghaol	0.703
fuckyeah	0.703
mùthaidhean)	0.703
gooood	0.703
feuch	0.703
deagh bheatha	0.703
a 'buannachadh	0.703
cuddled	0.703
co-là-breith	0.691
fèisteas	0.688
metime	0.688
is fheàrr leat	0.688
susbaint	0.688
angelic	0.688
adhair	0.688
fìor mhath	0.688
gàire	0.682
maiseach	0.682
Na caraidean as fheàrr	0.682
sàmhchair	0.679
deimhinneach	0.676
gabhail ris	0.676
gaoil	0.672
brataich	0.672
bday	0.672
grin	0.672
Giggles	0.672
victor	0.667
aoradh	0.667
cuddles	0.662
soirbheach	0.660
taitneach	0.656
meas	0.656
romansachd	0.656
glow	0.656
serenity	0.656
saighdearan	0.656
a 'moladh	0.652
riarachadh	0.652
ulaidh	0.652
gabhail pàirt	0.652
fortunes	0.652
gràdh	0.647
a bharrachd	0.647
feòil	0.643
gu h-iongantach	0.641
co-chòrdail	0.641
buidheachas	0.641
gun phrìs	0.641
curaidh	0.641
banais	0.641
togail suas	0.641
climax	0.636
reverie	0.636
bhuannaiche	0.636
felicity	0.636
cuddle	0.636
a 'comhfhurtachd	0.636
mèinn-mheala	0.636
xoxo	0.634
nas fheàrr	0.625
cridheachan	0.625
stargazing	0.625
fèis	0.625
a 'snoggling	0.625
gnè	0.622
caoimhneil	0.621
ùr-bheatha	0.618
mìorbhaileach	0.613
pòg	0.610
fialaidh	0.609
bogha-frois	0.609
Nollaig	0.609
super	0.609
rekindle	0.609
duaisean	0.609
ion-mholaidh	0.609
neo-eisimeileachd	0.607
soirbheachail	0.606
aon gaol	0.606
caoimhneas	0.606
