haohao	0.969
kūmākena	0.969
holo kuni	0.953
ke suicidal	0.941
euthanasia	0.927
ua kanikau	0.920
ke pepehi kanaka	0.912
nā keiki hānau	0.891
ka mea i make	0.891
nā pōʻino	0.875
raina	0.875
ka maʻi kanulau	0.875
i ke kaumaha	0.859
ua kaumaha	0.859
traumatic	0.859
paʻaʻole	0.859
ka haʻalele	0.859
e make	0.859
e kumakaia	0.848
hoʻomaʻamaʻa	0.844
kanu hoʻolewa	0.844
ka pepehi kanaka	0.844
hopeʻole	0.844
ua maʻi	0.836
i ke koko	0.836
ke kanaka pepehi kanaka	0.833
ke keiki	0.830
luku	0.828
ke kauā	0.828
hoʻokauwā	0.828
ke kōkuaʻole	0.828
haʻaleleʻia	0.828
nā mea weliweli	0.828
kaʻokiʻana	0.828
lukuʻia	0.828
pōloli	0.819
ʻo ka wī	0.812
nā moe	0.812
ka hoʻoluhi	0.812
me ke kaumaha	0.812
e uwē ana	0.812
nā hoʻokūkū	0.812
e make ana	0.804
sarcoma	0.797
olaʻole	0.797
e wāwahiʻia	0.797
ke olokeʻa	0.797
neoneo	0.797
leukemia	0.797
e pilikia ana	0.789
uē	0.781
kanu	0.781
puʻuwai	0.781
lelowale	0.766
ka ilili	0.766
ka hoʻomāinoino	0.766
hāpai i ka'ōpū	0.766
me kaʻoluʻolu	0.758
moribund	0.758
hoohewa	0.754
kūlanalana	0.750
ʻo ka hemorrhage	0.750
ke kupapau	0.750
nā meaʻino	0.750
ua kua	0.750
ka mea i hanaʻia	0.750
hōʻehaʻeha	0.750
ʻo ka molestation	0.744
lawe pio	0.742
pīhoihoi	0.742
Kehena	0.738
e hoʻopau	0.736
pepehi kanaka	0.734
pepehi	0.734
ka honua	0.734
keikiʻole	0.734
ua paʻi	0.734
morgue	0.734
e luku ana	0.734
homeless	0.734
akā	0.727
malihini	0.727
e kaumaha	0.719
emaciated	0.719
ke atrophy	0.719
pupule	0.719
ka maʻi lepera	0.719
ikaika	0.719
kāhea akula	0.719
ua hōʻoleʻia	0.712
ka hanaʻino	0.712
kahaehaeʻia	0.710
e hoʻopaʻi	0.703
maʻi'ōpū	0.703
e hoʻopauʻia	0.703
meltdown	0.703
kaʻenemi	0.703
kauhale	0.703
nā wāwae	0.703
he meaʻaiʻole	0.703
kanuʻia	0.703
ka carcinoma	0.703
i paʻi	0.703
obit	0.703
kāleka	0.703
ka mea i paʻi	0.703
ke kaʻawale	0.703
nā hanana	0.700
hehena	0.700
ʻo ka luku	0.698
wahine pouaru	0.697
e kue	0.697
e hōʻinoʻia	0.697
ua haʻaleleʻia	0.688
ke kākoʻo	0.688
hoʻopono	0.688
meha mau a mau	0.688
dementia	0.688
ke akamai	0.688
keary	0.688
wahine wahine make	0.688
e paʻahaoʻia	0.688
ua hoʻokuʻuʻia	0.688
ua haʻalele	0.688
ʻO ka hopeʻole	0.688
ke kūkā	0.685
e'ō'ō	0.682
hōʻiliʻili	0.682
kaheʻana	0.673
ka maʻi make	0.672
ua hoʻokaeʻia	0.672
'ōpū	0.672
disparage	0.672
nā poʻe malihini	0.672
hoopaahao	0.672
ke kuhi	0.672
hoʻopaʻi	0.672
despairing	0.672
pā	0.670
kaona	0.667
ka mea pepehi	0.667
hoʻokaumaha	0.664
ka pōʻino	0.656
ua pōʻino	0.656
ka pahu	0.656
kaehae	0.656
uwē	0.656
wale	0.656
eʻaihue	0.656
mangle	0.656
ana	0.656
polio	0.656
e hahau ana	0.652
ua mihi	0.652
ke kīnā	0.648
auwē	0.641
nā mea make	0.641
kūleka	0.641
paila	0.641
ua'ōwiliʻia	0.641
likeʻole	0.641
kaʻikeʻole	0.641
ka hoʻokomo	0.641
ia	0.638
e uwē	0.636
e wāwahi	0.636
hāhā	0.636
kaumaha	0.634
ua uhakiʻia	0.630
mausoleum	0.630
ua wāwahiʻia	0.625
hōʻinoʻia	0.625
pōuliuli	0.625
ʻaʻole hiki ke hoʻokau	0.625
hoʻomāinoino	0.625
nolorlor	0.625
maʻi maʻi	0.625
maʻi schizophrenia	0.625
ua nalowale	0.625
ke aliʻi	0.625
weluwelu	0.625
naʻauʻole	0.623
melancholy	0.621
ka puhiʻana	0.621
ke kūlana	0.621
poma	0.621
hōloia	0.612
lepsis	0.611
hikiʻole ke pale	0.609
mōhai	0.609
i hoʻopiliʻia	0.609
Gore	0.609
iʻeha	0.609
