brònach cridhe	0.969
a 'chaisteil	0.953
suicidal	0.941
euthanasia	0.927
air a sgrios	0.912
fèin-mharbhadh	0.912
bàs	0.906
tragsaidh	0.906
anguish	0.902
agony	0.900
a 'gul	0.896
marbh-bhreith	0.891
Murderer	0.877
tubaisteach	0.875
èigneachadh	0.875
aillse	0.875
a 'bàsachadh	0.875
morbidity	0.864
cruisneachadh	0.859
cur an gnìomh	0.859
thrèigsinn	0.859
cairbh	0.853
feall	0.848
bròn	0.844
bròineach	0.844
geur-leanmhainn	0.844
tiodhlacadh	0.844
a 'marbhadh	0.844
falamh fala	0.836
daonnachadh	0.833
feòil	0.833
neo-chleachdadh	0.830
a tha fhathast beò	0.830
tràilleachd	0.828
torment	0.828
saoradh	0.828
leòintich	0.828
morbid	0.828
annihilation	0.828
air a dhìteadh	0.828
abradh	0.824
ann an cunnart	0.819
cruelty	0.812
brògan	0.812
uamhasachd	0.812
tinneas cridhe	0.812
fuilteach	0.806
marbhtach	0.797
sgrios	0.797
sarcoma	0.797
saoghal gun bheatha	0.797
gu dòigheil	0.797
croich	0.797
sònrachadh	0.797
marbh	0.797
tràill	0.797
leucemia	0.797
a 'giùlan	0.789
tumor	0.781
briseadh cridhe	0.781
ciùradh	0.781
dealaichte	0.781
lynch	0.773
aonranachd	0.766
cladh	0.766
cràdh	0.766
condolence	0.766
slayer	0.766
gu pianail	0.758
caochladh	0.758
dìteadh	0.754
hemorrhage	0.750
galar sgaoilte	0.750
corp	0.750
bhuail	0.750
Dimàirt	0.750
analachadh	0.750
damnation	0.750
ceannairc	0.750
incest	0.750
pianail	0.750
a 'goid	0.750
neo-chothromachd	0.745
exile	0.742
Alba | Naidheachdan |	0.738
murt	0.734
marbhadh	0.734
crith-thalmhainn	0.734
dìlleachdan	0.734
air a chasg	0.734
horrid	0.734
gu truagh	0.734
lonesome	0.734
morgue	0.734
cogadh	0.734
a 'milleadh	0.734
gun dachaigh	0.734
gu mì-fhortanach	0.727
mach air ais	0.727
thrèigte	0.719
uabhas	0.719
maiseach	0.719
luibhre	0.719
fòirneartach	0.719
ghlaodh	0.719
gun chridhe	0.719
paralysis	0.719
pian	0.719
air a dhiùltadh	0.712
fòirneart	0.712
calamity	0.709
grim	0.708
gràineil	0.704
adhlacadh	0.703
neo-dhaonna	0.703
fulangach	0.703
neo-fhoirmeil	0.703
à bith	0.703
leaghadh	0.703
deformed	0.703
taigh-margaidh	0.703
cromadh	0.703
a 'bleith	0.703
pairilis	0.703
carcinoma	0.703
deformity	0.703
air a bhriseadh	0.703
àraid	0.703
tearful	0.703
obit	0.703
strangle	0.703
iomallachd	0.703
beathaichean	0.700
ifrinn	0.700
mallaichte	0.697
gun dòchas	0.688
banntrach	0.688
hospice	0.688
stuic	0.688
An-còmhnaidh leat fhèin	0.688
dementia	0.688
neo-chreideas	0.688
epidemic	0.688
teary	0.688
air an dearmad	0.688
sa phrìosan	0.688
gortach	0.688
air fhuadach	0.688
air a ghoirteachadh	0.688
call	0.688
coimheachadh	0.685
cruadal	0.685
bleeding	0.673
brònach	0.672
an-dòchas	0.672
sguir	0.672
eagalach	0.672
caoineadh	0.672
iomradh-bàis	0.672
ciorramach	0.672
puinnsean	0.672
gory	0.672
droch ghiùlan	0.672
prìosain	0.672
bana-bhuidseach	0.672
muladach	0.672
a pheanasachadh	0.672
olc	0.672
gu caoidh	0.672
neo-thorrach	0.670
puinnseanachadh	0.667
galar	0.665
sguabadh	0.664
cunnart	0.656
tobhta	0.656
ciste	0.656
deòir	0.656
shitty	0.656
gràin	0.656
aonaranach	0.656
steal	0.656
mangle	0.656
air adhart	0.656
dreary	0.656
polio	0.656
crosab	0.653
beating	0.652
ciorram	0.648
fàilligeadh	0.641
fuath	0.641
puinnseanach	0.641
