flabbergast	0.906
jira	0.883
firgita	0.875
mai ban sha'awa	0.859
busa	0.859
ƙararrawa	0.852
jolt	0.844
thunderstruck	0.844
girgiza	0.844
bang	0.836
dazzle	0.836
jackpot	0.812
girgizar kasa	0.812
bala'i	0.812
kusan	0.805
warst	0.805
tsorata	0.797
awestruck	0.797
ƙarewa	0.789
bam	0.789
yi kuka	0.789
mu'ujiza	0.773
detonate	0.773
mamaye	0.773
sacewa	0.766
dumfound	0.758
wanda ba a iya kwatanta shi ba	0.750
flinch	0.742
blitz	0.742
petrify	0.742
bewilder	0.742
hadarin	0.734
tsarke	0.734
frenetic	0.734
frantic	0.734
kwatsam	0.727
riotous	0.727
ya ɓace	0.727
moonstruck	0.727
crycry	0.727
ƙaddara	0.719
sabotage	0.719
shriek	0.719
numfashi	0.719
kururuwa	0.719
rupture	0.719
ba tare da tsammani ba	0.719
wanda ba a iya lura da shi ba	0.711
electrify	0.711
stun	0.711
harbe	0.711
avalanche	0.711
gasp	0.711
unforeseen	0.703
slam	0.703
karuwa	0.703
intruder	0.703
abrupt	0.703
dakatarwa	0.703
lalata	0.703
volatility	0.695
yi murna	0.695
unprecedented	0.695
yi ihu	0.695
yajin	0.695
rashin hankali	0.680
yar	0.680
clamor	0.680
burge	0.680
ba zato ba tsammani	0.672
fashe	0.672
yan wasa	0.672
nuni	0.672
ta'addanci	0.672
inexplicable	0.672
topple	0.664
volcano	0.664
juyin juya halin	0.664
maras tabbas	0.656
ficewa	0.656
tayar da hankali	0.656
sneak	0.656
zubar da jini	0.656
tashin hankali	0.648
cyclone	0.648
spellbound	0.648
ba tare da nuna shakku ba	0.648
mutiny	0.648
kai hare hare	0.648
ba a amince da shi ba	0.648
annoba	0.648
ihu	0.641
kullun	0.641
wildfire	0.641
indescribable	0.641
babbar sha'awa	0.641
tumult	0.641
improvisation	0.641
anomaly	0.633
bayyanuwa	0.633
presto	0.633
gape	0.633
agape	0.633
rashin tabbas	0.633
ganimar	0.633
gaggawa	0.625
hadari	0.625
kisan	0.625
wahala	0.625
kisan kai	0.617
tsanani	0.617
bace	0.617
intrusive	0.617
prank	0.617
sihiri	0.609
ƙullufi	0.609
juyin mulki	0.609
barawo	0.609
raguwa	0.609
baƙi	0.609
hari	0.602
defy	0.602
ruwa	0.602
wanda ba a sani ba	0.602
jubili	0.602
magance	0.602
hauka	0.594
walƙiya	0.594
mishap	0.594
shrill	0.594
mai ban mamaki	0.594
yaudara	0.586
abin ban mamaki	0.586
paralyzed	0.586
bazuwar	0.586
bonus	0.586
daji	0.586
haushi	0.586
banmamaki	0.586
ba'a	0.586
lantarki	0.578
oddity	0.578
mutuwa	0.578
jubilant	0.578
godsend	0.578
raving	0.578
wanda bai kai ba	0.578
fluke	0.578
fansa	0.570
Dynamic	0.570
fascin	0.562
cirewa	0.562
jerk	0.562
sakamako	0.562
ba da kariya ba	0.562
sake dawowa	0.562
whim	0.555
conjure	0.555
crescendo	0.555
zany	0.555
thaumaturgy	0.555
haskaka	0.547
ceto	0.547
tantalizing	0.547
heroism	0.547
rarity	0.547
ejaculation	0.547
daze	0.547
unbridled	0.547
warware	0.547
cin amana	0.539
fashi	0.539
barazana	0.539
lunge	0.539
mafarki	0.539
sa'a	0.539
katsewa	0.539
jin dadi	0.531
boye	0.531
banger	0.531
fushi	0.531
snag	0.531
cin zarafi	0.523
kariya	0.523
Nan take	0.523
ba a gano ba	0.523
watsi	0.523
yi farin ciki	0.523
improvise	0.523
majestic	0.523
kunama	0.523
sata	0.516
yelp	0.516
karami	0.516
kuka	0.516
karkata	0.508
reflex	0.508
rave	0.508
pop	0.508
matsakaici	0.508
garish	0.508
ba tare da gangan ba	0.508
rashin kuskure	0.500
faɗakarwa	0.500
heroic	0.500
fainting	0.500
kisa	0.500
enliven	0.500
lahani	0.500
diversion	0.500
unutterable	0.492
nab	0.492
sake kamuwa	0.492
trump	0.492
decoy	0.492
chimera	0.492
infarct	0.492
birthday	0.492
girman	0.492
yin himma	0.484
prick	0.484
mai sihiri	0.484
rashin sanin cikakken farashi	0.484
horde	0.484
fanfare	0.484
wanda ba a iya faɗi ba	0.484
daemon	0.484
sani	0.484
tsoro	0.477
rushewa	0.477
arziki	0.477
gawk	0.477
unguarded	0.477
chicane	0.477
sneeze	0.477
haske	0.477
ya faru	0.477
komawa	0.469
prowl	0.469
leery	0.469
wizard	0.469
daidaituwa	0.461
bambanta	0.461
karya	0.461
slip	0.461
damuwa	0.453
ban mamaki	0.453
max	0.453
lashe	0.453
furci	0.453
evanescence	0.453
haɓaka	0.453
raffle	0.453
mai goyon baya	0.445
feat	0.445
yiwuwa	0.445
mafi kyau	0.445
caca	0.445
ba da gangan ba	0.438
brighten	0.438
canzawa	0.438
rapt	0.438
ƙawa	0.438
hankali	0.438
kara	0.430
Kyauta	0.430
fascinci	0.430
trepidation	0.430
shingy	0.430
fiesta	0.430
rikici	0.430
hanzari	0.422
asali	0.422
yanki	0.422
hukunci	0.422
stealth	0.422
gaskiya	0.414
elusive	0.414
rantsuwa	0.414
ruhohi	0.414
sassauci	0.414
almara	0.414
syncope	0.414
gwaji	0.414
dan wasan kuɗi	0.406
marmarin	0.406
wahayi	0.406
wasa	0.406
farawa	0.406
farati	0.406
asiri	0.398
shugabanci	0.398
saki	0.398
tsammani	0.398
burlesque	0.398
farin ciki	0.391
peri	0.391
hermaphrodite	0.391
girma	0.391
incontinence	0.391
gado	0.383
Ci	0.383
rasa	0.383
daukaka	0.383
buck	0.383
yabo	0.383
cadaver	0.383
kunya	0.375
nasara	0.375
gulp	0.375
gaba	0.375
fashewa	0.367
sparkle	0.367
joker	0.367
ji	0.359
nishaɗi	0.359
clown	0.352
sababbin	0.352
gyara	0.352
kyauta	0.352
albarka	0.352
jinkiri	0.352
obit	0.352
mamaki	0.344
sanannu	0.344
jarumi	0.344
fara	0.344
mafi girma	0.344
ƙwarewa	0.344
ɗaukaka	0.344
fata	0.336
unbeaten	0.336
abin tunawa	0.336
tsarkakewa	0.336
sake sakewa	0.336
rushe	0.336
grin	0.336
sha'awa	0.328
hypertrophy	0.328
yanzu	0.320
mala'ika	0.320
jarrabawa	0.320
kama	0.320
yanci	0.312
flirt	0.312
puma	0.312
sumba	0.312
rungumi	0.312
lokaci-lokaci	0.312
bi da	0.312
saint	0.312
scrimmage	0.312
aikawa	0.312
karimci	0.305
kammala	0.305
gratify	0.305
saintly	0.305
sally	0.305
gargadi	0.297
polarity	0.297
ƙarshe	0.297
daban	0.297
alal misali	0.297
ya fi girma	0.297
gaisuwa	0.289
romance	0.289
lambar yabo	0.289
