surprise	0.930
flabbergast	0.906
ambush	0.883
kev tawg	0.883
kuj ceeb tias	0.875
shockingly	0.875
ceeb	0.867
thrilling	0.859
txuj ci tseem ceeb	0.859
ua nruj ua tsiv	0.859
moj tej tawg	0.852
lub tswb	0.852
jolt	0.844
thunderstruck	0.844
bang	0.836
poob nthav	0.836
kev teeb meem	0.836
dazzle	0.836
ti tes ti taw	0.828
bewilderment	0.828
mam li nco dheev	0.828
startling	0.828
astound	0.820
stunned	0.820
jackpot	0.812
av qeeg	0.812
kev phem	0.812
climax	0.805
ib txhis	0.805
awestruck	0.797
foob ​​pob	0.789
kev xav tsis thoob	0.781
alarming	0.773
miraculous	0.773
txeeb chaw	0.773
tua	0.773
tshem tawm	0.773
nyaum	0.766
stupefy	0.758
yooj yim	0.758
dumfound	0.758
unpredictable	0.758
unimaginable	0.750
erratic	0.750
kev huam yuaj	0.750
outrageous	0.750
flinch	0.742
blitz	0.742
petrify	0.742
slaughter	0.742
ntshai heev	0.742
amaze	0.742
bewilder	0.742
wreck	0.742
stupefaction	0.734
excitement	0.734
frenetic	0.734
frantic	0.734
Sudden	0.727
riotous	0.727
vanished	0.727
moonstruck	0.727
outcry	0.727
bewildered	0.719
sab sab	0.719
shriek	0.719
ua tsis taus pa	0.719
quaj qw	0.719
manslaughter	0.719
sib tawg	0.719
unanticipated	0.719
uncontrollable	0.711
npaj txhij txog	0.711
stun	0.711
txhaj tshuaj	0.711
avalanche	0.711
nkig	0.711
unforeseen	0.703
slam	0.703
ntog	0.703
intruder	0.703
abrupt	0.703
xyuam xim	0.703
devastation	0.703
volatility	0.695
excite	0.695
unprecedented	0.695
stab	0.695
ceev	0.695
cuam ​​tshuam	0.688
carnage	0.688
zoo kawg	0.688
tsis txaus ntseeg	0.680
ncuav	0.680
npau suav	0.680
clamour	0.680
thrill	0.680
tawm tsam	0.672
ua yuam kev	0.672
lo lus	0.672
captivate	0.672
neeg ua phem	0.672
inexplicable	0.672
exciting	0.672
topple	0.664
roob hluav taws	0.664
kiv puag ncig	0.664
freakish	0.664
incendiary	0.656
kev tawm tsam	0.656
nka mus	0.656
unspeakable	0.656
bloodshed	0.656
cyclone	0.648
tsausmuag	0.648
spellbound	0.648
unsuspecting	0.648
mutiny	0.648
zuj zus	0.648
unintended	0.648
amazingly	0.648
phaum mob	0.648
qw	0.641
screech	0.641
wildfire	0.641
indescribable	0.641
kev kub siab	0.641
excitation	0.641
tumult	0.641
kev txhim kho	0.641
anomaly	0.633
yam ntxwv	0.633
treachery	0.633
presto	0.633
gape	0.633
agape	0.633
tsis meej	0.633
plunder	0.633
zoo siab heev	0.625
tempest	0.625
ua kom yuam kev	0.625
slaughtering	0.625
wonderment	0.625
sorcery	0.625
murderous	0.625
kev kub ntxhov	0.625
kev nyuaj siab	0.625
kev dag ntxias	0.617
khaus	0.617
yaj yuam	0.617
intrusive	0.617
prank	0.617
tawg	0.609
blindfold	0.609
ntxeev	0.609
txaws	0.609
tub sab	0.609
tej yam yees siv	0.609
tsis ruaj tsis khov	0.609
strangle	0.609
defy	0.602
deluge	0.602
inconceivable	0.602
jubilee	0.602
stupor	0.602
tackle	0.602
kev ua phem	0.602
ntxeev siab	0.602
kev tsim tsa	0.594
xob laim	0.594
mishap	0.594
shrill	0.594
stupendous	0.594
mysterious	0.586
tuag tes tuag taw	0.586
randomly	0.586
ntxiv	0.586
qus	0.586
pitfall	0.586
wondrous	0.586
uncanny	0.586
poob siab	0.578
hluav taws xob	0.578
oddity	0.578
tuag	0.578
jubilant	0.578
godsend	0.578
rawm	0.578
rejoicing	0.578
ntxov ntxov	0.578
fluke	0.578
txawv txawv	0.578
kua zaub ntsuab	0.570
dynamic	0.570
dismay	0.570
ecstatic	0.562
fascinate	0.562
hle	0.562
ntsuag	0.562
nqi zog	0.562
nefarious	0.562
rov qab	0.562
whim	0.555
conjure	0.555
crescendo	0.555
zany	0.555
thaum ntxov	0.555
illuminate	0.547
cawm	0.547
tantalizing	0.547
khiav	0.547
heroism	0.547
rarity	0.547
ejaculation	0.547
daze	0.547
unbridled	0.547
thwart	0.547
kev cuam tshuam	0.539
treason	0.539
punch	0.539
thuam	0.539
lunge	0.539
illusion	0.539
muaj hmoo	0.539
siab	0.539
kev ua koob tsheej	0.539
ua txhaum	0.539
ntshai	0.531
hnov mob	0.531
zais	0.531
banger	0.531
affront	0.531
snag	0.531
xav tsis thoob	0.523
weer	0.523
tam sim ntawd	0.523
undiscovered	0.523
kev nrauj	0.523
txhim kho	0.523
majestic	0.523
scorpion	0.523
raug tsim txom	0.523
tso dim	0.523
yelp	0.516
stealthily	0.516
tickle	0.516
caij nyoog	0.516
nqhis	0.516
swerve	0.508
reflex	0.508
rave	0.508
pop	0.508
hmoov	0.508
hloov dua siab tshiab	0.508
garish	0.508
unintentionally	0.508
tua neeg	0.500
zoo kawg li	0.500
infrequent	0.500
heroic	0.500
tsaus muag	0.500
erotic	0.500
enliven	0.500
alertness	0.500
kev coj tsis tus	0.500
poob ntsej muag	0.500
kev ua si	0.500
unutterable	0.492
nab	0.492
camouflage	0.492
trump	0.492
decoy	0.492
chimera	0.492
infarct	0.492
hnub yug	0.492
greatness	0.492
zeal	0.484
prick	0.484
tus txawj ua yees siv	0.484
txhawj xeeb	0.484
horde	0.484
kev sib tw	0.484
inexpressible	0.484
daemon	0.484
kuj sib txawv thiab	0.484
xav paub	0.484
gawk	0.477
unguarded	0.477
chicane	0.477
hmoov zoo	0.477
illumination	0.477
xwm txheej	0.477
dreadfully	0.477
coj txawv txawv	0.477
subversive	0.477
ceev ceev	0.469
hloov tshiab	0.469
prowl	0.469
leery	0.469
wizard	0.469
kev sib haum xeeb	0.461
lom zem heev	0.461
divergent	0.461
so	0.461
swb	0.461
dag	0.453
yeej	0.453
tshaj	0.453
lees txim	0.453
kev cog qoob loo	0.453
evanescence	0.453
merriment	0.453
raffle	0.453
stound	0.445
tus cwj pwm	0.445
splendid	0.445
Zoo siab	0.445
perchance	0.445
excel	0.445
kev twvtxiaj	0.445
tsis paub	0.438
unintentional	0.438
brighten	0.438
hloov tau	0.438
rapt	0.438
splendor	0.438
fascination	0.430
trepidation	0.430
