ho pota-pota	0.906
phatloha	0.906
ba emetse	0.883
ho foqoha ha seretse	0.883
ts'oaetso	0.875
ba tšohile	0.867
makala	0.867
alamo	0.852
jolt	0.844
thunderstruck	0.844
tšoha	0.844
tšabo	0.836
bang	0.836
khanyetsa	0.836
tšohanyetso	0.828
hlolloa	0.820
tlokotsi	0.812
jackpot	0.812
tšisinyeho ea lefatše	0.812
makatsoe	0.805
makatso	0.805
tlhōrō	0.805
tšosa	0.797
bomo	0.789
mohlolo	0.773
hlakola	0.773
e tšosang	0.773
hlasela	0.773
ho nkuoa	0.773
ho tlōla	0.766
khabisa	0.758
e sithabetsang	0.758
ho fokotseha	0.758
ho sa nahaneheng	0.750
e fosahetseng	0.750
e sehlōhō	0.750
makatsoa	0.742
flinch	0.742
blitz	0.742
ferekanya	0.742
polao	0.742
ho tšosa	0.742
ho senyeha	0.742
frenetic	0.734
ho oa	0.734
e tsosang takatso	0.727
e ile ea fela	0.727
moonstruck	0.727
ferekane	0.719
masapo	0.719
shriek	0.719
ho hema	0.719
ho bolaea batho	0.719
ho sa lebelloa	0.711
ho khabisa	0.711
stun	0.711
ho thunngoa	0.711
li-avalanche	0.711
e fokotseha	0.711
ka tšohanyetso	0.703
ho sa lebelloang	0.703
slam	0.703
ho phahama	0.703
moqapi	0.703
ho hloka botsitso	0.695
e e-s'o ka e e-ba teng	0.695
otla	0.695
khathatso	0.688
ho bolaoa	0.688
mohoo	0.680
kotsi	0.672
ka phoso	0.672
e otlang	0.672
khahlisa	0.672
sekhukhuni	0.672
e sa hlaloseheng	0.672
topple	0.664
seretse se chesang	0.664
revolution	0.664
freakish	0.664
ho chesa	0.656
bofetoheli	0.656
sneak	0.656
e sa khonehang	0.656
tšollo ea mali	0.656
ho makatsang	0.648
e sa lebelloang	0.648
leholiotsoana	0.648
e mabifi	0.648
spellbound	0.648
ba sa tsebeng letho	0.648
e hlakileng	0.648
seoa	0.648
hoeletsa	0.641
screech	0.641
mollo oa mollo	0.641
e ke keng ea hlalosoa	0.641
morusu	0.641
ntlafatso	0.641
ho hlaha	0.633
presto	0.633
agape	0.633
ho se ts'oane	0.633
tlatlapo	0.633
sefefo	0.625
qhekella	0.625
ho hlajoa	0.625
boloi	0.625
ea bolaeang	0.625
mahlomola	0.625
potlako	0.617
haholo	0.617
nyamela	0.617
ho bolaea	0.617
intrusive	0.617
prank	0.617
koaletsoeng	0.609
ho loana	0.609
lesholu	0.609
boselamose	0.609
shatter	0.609
khaola	0.609
ho nyefola	0.602
moroallo	0.602
ho ke keng ha khoneha	0.602
jubilee	0.602
roala	0.602
ekahela	0.602
ho phatloha	0.594
monstrosity	0.594
litlhokomeliso	0.594
lehalima	0.594
molaetsa	0.594
se makatsang	0.586
ba shoele litho	0.586
ka tloaelo	0.586
bonase	0.586
leshano	0.586
hlaha	0.586
phoso	0.586
tse sa tloaelehang	0.586
ho makatsa	0.578
e thabisang	0.578
ho fofa	0.578
lefu	0.578
godsend	0.578
ho thekesela	0.578
pele ho nako	0.578
ho tsieleha	0.570
phetetsa	0.570
e matla	0.570
ho thaba	0.562
ho se tsotelle	0.562
ho thahasellisang	0.562
koahela	0.562
jerk	0.562
kotula hape	0.562
whim	0.555
khotsofatsa	0.555
crescendo	0.555
zany	0.555
thaumaturgy	0.555
e sa laoleheng	0.547
khafetsa	0.547
khantša	0.547
pholosa	0.547
ho khahlisa	0.547
e hlōtseng	0.547
sebete	0.547
ho khaola	0.547
khale	0.547
kotlo	0.539
ho rohaka	0.539
lunge	0.539
ho fosahetse	0.539
ho kena-kenana	0.539
tlōlo ea molao	0.539
hlolla	0.539
maikutlo	0.531
e patehileng	0.531
banger	0.531
affront	0.531
khaba	0.531
ho makala	0.523
thaba	0.523
kapele	0.523
e sa fumanoe	0.523
ho lahla	0.523
ntlafatsa	0.523
scorpion	0.523
ba hlokofalitsoe	0.523
lokolla	0.523
ho bokolla	0.516
yelp	0.516
ka mokhoa o thetsang	0.516
makatsa	0.516
monyetla	0.516
hlaba	0.508
e hlollang	0.508
lehlohonolo	0.508
swerve	0.508
reflex	0.508
pop	0.508
ho fetela	0.508
garish	0.508
ntle ho morero	0.508
e sa tloaelehang	0.500
ho tepella	0.500
'molai	0.500
ho nyonya	0.500
enliven	0.500
hlokolosi	0.500
boitšoaro bo hlephileng	0.500
ho hlajoa ke lihlong	0.500
e ke keng ea qojoa	0.492
nab	0.492
ho phunya	0.492
terompeta	0.492
ho bola	0.492
chimera	0.492
e fokolang	0.492
letsatsi la tsoalo	0.492
boholo	0.492
cheseho	0.484
khaotsa	0.484
magician	0.484
ho se tsotellehe	0.484
fanfare	0.484
e sa tsebeng letho	0.484
daemon	0.484
thahasello	0.484
e makatsang	0.477
ka tšabo	0.477
gawk	0.477
e sa sireletsoeng	0.477
chicane	0.477
bokello	0.477
sneeze	0.477
khanya	0.477
ketsahalo	0.477
ho hlasela	0.469
ho fetoha	0.469
ka potlako	0.469
leery	0.469
wizard	0.469
ho tletse	0.461
ka tsietsi	0.461
ho fapana	0.461
ho robeha	0.461
slip	0.461
thabo	0.453
leqheka	0.453
ho hlōla	0.453
ho tsepamisa maikutlo	0.453
ho ipolela	0.453
bohloko	0.453
evanescence	0.453
rafle	0.453
e babatsehang	0.445
e tiile	0.445
litšeho	0.445
ea chesehang	0.445
feat	0.445
palo	0.445
e ntle haholo	0.445
papali ea chelete	0.445
ka boomo	0.438
e khanyang	0.438
fetoha	0.438
rapt	0.438
e ikhetha	0.438
bokhabane	0.438
e se nang kelello	0.438
bohale	0.430
mpho	0.430
ho thahasella	0.430
fiesta	0.430
Nyakalletse	0.430
nyeoe	0.430
khethollo	0.430
ho fokola	0.422
motlakase	0.422
tšimoloho	0.422
setloholo	0.422
kahlolo	0.422
bolotsana	0.414
nete	0.414
ha ho joalo	0.414
meea	0.414
e seng molaong	0.414
syncope	0.414
teko	0.414
papali ea papali ea chelete	0.406
chesehela	0.406
e bululetsoeng	0.406
ho opa liatla	0.406
ho kheloha	0.406
pontšo	0.406
sephiri	0.398
ka bohlale	0.398
tlhalo	0.398
nahana	0.398
